type,small_bags,large_bags,xlarge_bags,total_bags
organic,196.67,0,0,196.67
conventional,600155.95,93434.54,3499.95,697090.44
organic,6511.7,3540.46,0,10052.16
conventional,64180.88,1549.29,0,65730.17
organic,1168.46,0,0,1168.46
conventional,62671.58,2226.74,0,64898.32
organic,266.67,0,0,266.67
conventional,107320.39,12960.37,0,120280.76
organic,750,0,0,750
conventional,22405.47,17913.92,149.98,40469.37
organic,105.03,7.55,0,112.58
conventional,14684.19,10376.37,0,25060.56
organic,500,0,0,500
conventional,32897.59,277.96,0,33175.55
organic,813.33,0,0,813.33
conventional,260857.96,26671.18,2666.02,290195.16
organic,8541.34,0,0,8541.34
conventional,10228.66,8804.67,43.17,19076.5
organic,420,5.29,0,425.29
conventional,41312,35780.27,0,77092.27
organic,386.67,0,0,386.67
conventional,478770.7,90214.44,57.84,569042.98
organic,10971.43,1520.75,0,12492.18
conventional,23520.54,2116.34,0,25636.88
organic,773.33,119.16,0,892.49
conventional,61302.5,2895.44,0,64197.94
organic,4480,0,0,4480
conventional,211934.06,61052.37,0,272986.43
organic,1327.19,0,0,1327.19
conventional,784229.51,84757.11,0,868986.62
organic,18457.1,1995.05,0,20452.15
conventional,64770.92,0,0,64770.92
organic,7049.63,0,0,7049.63
conventional,18914.84,24654.33,0,43569.17
organic,883.33,0,0,883.33
conventional,93250.96,12135.59,0,105386.55
organic,689.13,0,0,689.13
conventional,70788.61,0,0,70788.61
organic,473.33,0,0,473.33
conventional,12321.55,7037.78,0,19359.33
organic,257.86,2168.61,0,2426.47
conventional,206579.02,1074.3,1121.44,208774.76
organic,8577.16,1241.43,0,9818.59
conventional,34402.17,13785.22,0,48187.39
organic,303.33,9623.53,0,9926.86
conventional,46298.95,14167.52,0,60466.47
organic,925.39,89.22,0,1014.61
conventional,36798.65,10858.47,0,47657.12
organic,583.33,261.88,0,845.21
conventional,25952.51,3504.58,0,29457.09
organic,626.3,420.59,0,1046.89
conventional,39320.62,0,0,39320.62
organic,883.8,0,0,883.8
conventional,27844.81,4411.36,426.61,32682.78
organic,1593.11,0,0,1593.11
conventional,78241.87,515.56,52.18,78809.61
organic,356.67,0,0,356.67
conventional,67519.53,720.65,10.71,68250.89
organic,216.67,7944.82,0,8161.49
conventional,35311.93,21663.7,0,56975.63
organic,1346,24.72,0,1370.72
conventional,497106.16,57607.18,25.69,554739.03
organic,25780,205.46,0,25985.46
conventional,258541.9,225694.58,0,484236.48
organic,10657.51,313.52,0,10971.03
conventional,7986.02,503.29,0,8489.31
organic,146.67,501.26,0,647.93
conventional,41014.51,4.44,0,41018.95
organic,300,0,0,300
conventional,14818.36,0,0,14818.36
organic,476.34,0,0,476.34
conventional,25006.34,38060.23,0,63066.57
organic,916.67,0,0,916.67
conventional,3873041.26,771093.2,7935.35,4652069.81
organic,101850.23,41118.33,0,142968.56
conventional,527358.78,181809.88,39.96,709208.62
organic,7442.17,32301.66,0,39743.83
conventional,71564.22,873.08,0,72437.3
organic,1620,15.84,0,1635.84
conventional,10103.35,742.47,0,10845.82
organic,952.3,0,0,952.3
conventional,13176.39,23435.77,0,36612.16
organic,533.33,200.23,0,733.56
conventional,209761.81,7588.83,0,217350.64
organic,1738.64,0,0,1738.64
conventional,2009.53,2520.51,0,4530.04
organic,133.33,181.54,0,314.87
conventional,115538.05,934.11,0,116472.16
organic,1184.75,0,0,1184.75
conventional,57909.74,740,0,58649.74
organic,1373.92,0,0,1373.92
conventional,521004.15,46809.48,2796.24,570609.87
organic,12529.65,0,0,12529.65
conventional,41623.4,12686.41,0,54309.81
organic,469.68,0,0,469.68
conventional,75867.61,9265.81,87.51,85220.93
organic,724.44,0,0,724.44
conventional,20650.03,25970.02,16.03,46636.08
organic,377.77,1443.43,0,1821.2
conventional,21117.47,2057.45,21.43,23196.35
organic,293.33,553.41,0,846.74
conventional,60158.3,18029.96,0,78188.26
organic,2613.33,0,0,2613.33
conventional,74743.6,52611.95,9.42,127364.97
organic,1202.57,8031.85,0,9234.42
conventional,69311.52,1280.03,3172.7,73764.25
organic,60,852.82,0,912.82
conventional,54053.21,4552.75,116.95,58722.91
organic,80,0,0,80
conventional,503612.64,109501,4563.7,617677.34
organic,6137.81,4831.91,0,10969.72
conventional,79720.85,3658.38,0,83379.23
organic,1902.74,0,0,1902.74
conventional,79402.42,7189.08,0,86591.5
organic,234.57,0,0,234.57
conventional,95546.28,24742.9,0,120289.18
organic,806.67,0,0,806.67
conventional,21963.56,14952.61,38.16,36954.33
organic,286.67,119.35,0,406.02
conventional,16753.47,11172.47,0,27925.94
organic,263.33,0,0,263.33
conventional,31833.66,279.71,0,32113.37
organic,273.33,13.32,0,286.65
conventional,255279.65,36398.19,2418.11,294095.95
organic,8684.63,0,0,8684.63
conventional,8875.65,12189,14.88,21079.53
organic,216.67,240.74,0,457.41
conventional,35279.75,31641.45,0,66921.2
organic,530,0,0,530
conventional,572717.4,99142.71,20.35,671880.46
organic,11428.78,3016.1,0,14444.88
conventional,24183.43,1789.69,0,25973.12
organic,850,834.61,0,1684.61
conventional,66085.94,3438.66,0,69524.6
organic,1063.34,0,0,1063.34
conventional,249848.32,63602.13,0,313450.45
organic,2015.47,0,0,2015.47
conventional,903840.54,100787.4,0,1004627.94
organic,20455.66,163.54,0,20619.2
conventional,53543.21,4.44,0,53547.65
organic,6163.83,0,0,6163.83
conventional,22591.61,26273.2,0,48864.81
organic,696.67,0,0,696.67
conventional,110991.22,15679.17,0,126670.39
organic,1271.83,0,0,1271.83
conventional,75558.47,2.55,0,75561.02
organic,1120,12.73,0,1132.73
conventional,17599.77,6817.03,0,24416.8
organic,559.41,192.34,0,751.75
conventional,198193.38,1929.49,1196.57,201319.44
organic,10403.58,1062.77,0,11466.35
conventional,40428.06,17854.14,0,58282.2
organic,540,3734.07,0,4274.07
conventional,63206.25,13469.98,0,76676.23
organic,620.46,101.4,0,721.86
conventional,45878.25,10311.11,0,56189.36
organic,1002.65,349.51,0,1352.16
conventional,29161.12,4148.89,0,33310.01
organic,759.28,400.93,0,1160.21
conventional,38819.19,0,0,38819.19
organic,674.59,0,0,674.59
conventional,30090.58,4708.25,261.29,35060.12
organic,1416.96,0,0,1416.96
conventional,82293.47,796.67,70.57,83160.71
organic,228.67,0,0,228.67
conventional,61054.23,370.74,24.44,61449.41
organic,453.33,4654.68,0,5108.01
conventional,45690.04,18473.67,0,64163.71
organic,970,46.97,0,1016.97
conventional,476249.64,92763.31,0,569012.95
organic,15613.33,344.94,0,15958.27
conventional,281141.42,221255.67,0,502397.09
organic,9640,514.18,0,10154.18
conventional,8010.36,0,0,8010.36
organic,226.67,146.12,0,372.79
conventional,46375.55,0,0,46375.55
organic,573.33,0,0,573.33
conventional,20725.1,420,0,21145.1
organic,712.86,0,0,712.86
conventional,30325.33,38569.86,0,68895.19
organic,726.67,0,0,726.67
conventional,3978636.9,812924.73,8631.31,4800192.94
organic,95964.83,35843.27,0,131808.1
conventional,521877.7,140735.66,54.44,662667.8
organic,9756.03,25909.84,0,35665.87
conventional,65072.69,1762.95,0,66835.64
organic,2320,36.88,0,2356.88
conventional,9170.82,152.36,0,9323.18
organic,1096.03,0,0,1096.03
conventional,10553.73,41140.76,0,51694.49
organic,1133.33,756.16,0,1889.49
conventional,159916.87,4672.49,0,164589.36
organic,4613.61,0,0,4613.61
conventional,4867.26,1777.58,0,6644.84
organic,283.33,498.12,0,781.45
conventional,109900.93,313.46,0,110214.39
organic,1622.73,0,0,1622.73
conventional,86848.47,71.11,0,86919.58
organic,2687.42,0,0,2687.42
conventional,556205.2,41203.2,2740.84,600149.24
organic,11697.02,0,0,11697.02
conventional,33450.14,15620.29,0,49070.43
organic,644.69,0,0,644.69
conventional,89516.93,3448.62,112.35,93077.9
organic,1192.23,0,0,1192.23
conventional,15335.37,31756.14,4737.81,51829.32
organic,371.08,977.62,0,1348.7
conventional,16360.12,3422.61,4163.25,23945.98
organic,223.33,575.37,0,798.7
conventional,79314.06,11474.72,16.21,90804.99
organic,3953.33,0,0,3953.33
conventional,90555.95,68006.59,40.39,158602.93
organic,1323.33,10566.53,0,11889.86
conventional,54003.36,688.47,15989.95,70681.78
organic,253.33,1049.04,0,1302.37
conventional,43899.75,4377.27,145.8,48422.82
organic,96.67,0,0,96.67
conventional,479453.25,126925.79,40152.66,646531.7
organic,8615.6,4191.39,0,12806.99
conventional,69529.64,1403.1,0,70932.74
organic,3605.48,0,0,3605.48
conventional,72234.63,3643.11,0,75877.74
organic,587.68,0,0,587.68
conventional,86145.18,48275.53,0,134420.71
organic,946.67,0,0,946.67
conventional,20669.59,18130.75,2760.8,41561.14
organic,496.67,218.31,0,714.98
conventional,20816.49,22129.37,0,42945.86
organic,720,0,0,720
conventional,35205.21,1243.8,0,36449.01
organic,383.33,0,0,383.33
conventional,308754.64,31108.07,2317.12,342179.83
organic,8756.72,0,0,8756.72
conventional,8618.05,21296.75,1202.06,31116.86
organic,303.33,260.72,0,564.05
conventional,48097.17,63671.65,0,111768.82
organic,923.33,0,0,923.33
conventional,464442.27,125798.21,2510.08,592750.56
organic,17413.54,1904.51,0,19318.05
conventional,23898.35,5714.51,0,29612.86
organic,603.33,606.49,0,1209.82
conventional,76463.29,7885.81,0,84349.1
organic,1816.67,0,0,1816.67
conventional,243186.43,80172.1,0,323358.53
organic,10139.17,0,0,10139.17
conventional,896750.09,109953.33,0,1006703.42
organic,36537.93,11.67,0,36549.6
conventional,46576.76,93.34,0,46670.1
organic,5978.48,0,0,5978.48
conventional,26854.75,53409.97,0,80264.72
organic,1183.33,0,0,1183.33
conventional,104365.66,14959.93,0,119325.59
organic,3201.03,0,0,3201.03
conventional,82437.73,0,0,82437.73
organic,813.46,5.06,0,818.52
conventional,20561.48,11308.76,0,31870.24
organic,585.38,7.08,0,592.46
conventional,235274.47,1245.73,1332.72,237852.92
organic,9989.22,1768.04,0,11757.26
conventional,48200.04,11547.81,1.95,59749.8
organic,540,6028.55,0,6568.55
conventional,41191.91,19822.48,0,61014.39
organic,1330.43,14.5,0,1344.93
conventional,40189.17,6952.5,0,47141.67
organic,1296.67,37.1,0,1333.77
conventional,27117.84,3353.97,0,30471.81
organic,903.33,68.53,0,971.86
conventional,39738.53,0,0,39738.53
organic,467.34,0,0,467.34
conventional,36622.51,4738.29,265.09,41625.89
organic,1263.56,0,0,1263.56
conventional,64393.44,832.23,118.86,65344.53
organic,227.71,0,0,227.71
conventional,142049.31,1034.01,33.58,143116.9
organic,406.67,5505.22,0,5911.89
conventional,51793.3,27913.45,0,79706.75
organic,1580,164.2,0,1744.2
conventional,519847.64,126683.42,63.26,646594.32
organic,19943.33,394,0,20337.33
conventional,359145.48,417111.87,0,776257.35
organic,14673.34,1540.62,0,16213.96
conventional,12276.59,36.52,0,12313.11
organic,220,201.87,0,421.87
conventional,49768.12,0,0,49768.12
organic,350,0,0,350
conventional,25793.45,51.11,0,25844.56
organic,1169.84,0,0,1169.84
conventional,50530.52,66414.59,0,116945.11
organic,1326.67,0,0,1326.67
conventional,4216452.03,1121076.47,46899.12,5384427.62
organic,129953.15,43243.63,0,173196.78
conventional,705333.64,172154.91,99.56,877588.11
organic,11083.16,33433.41,0,44516.57
conventional,82065.7,3742.74,0,85808.44
organic,2563.33,0,0,2563.33
conventional,10113.1,508.44,0,10621.54
organic,1590.77,0,0,1590.77
conventional,18044.41,20895.77,0,38940.18
organic,1316.67,1599.1,0,2915.77
conventional,175771.39,5161.57,0,180932.96
organic,3739.05,2.59,0,3741.64
conventional,1373.42,1673.75,0,3047.17
organic,323.33,701.39,0,1024.72
conventional,105403.38,813.34,0,106216.72
organic,2134.4,0,0,2134.4
conventional,63918.25,595.56,0,64513.81
organic,3274.24,0,0,3274.24
conventional,553682.71,56311.08,2532.59,612526.38
organic,13761.61,0,0,13761.61
conventional,41921.3,9363.03,0,51284.33
organic,1347.06,0,0,1347.06
conventional,78980.96,3273.2,81.93,82336.09
organic,1715.56,0,0,1715.56
conventional,17773.67,18571.14,913.86,37258.67
organic,963.33,213.6,0,1176.93
conventional,17859.26,1970.91,563.46,20393.63
organic,856.67,270.6,0,1127.27
conventional,67959.08,12176.08,42.77,80177.93
organic,3353.33,0,0,3353.33
conventional,92800.41,48427.25,30.18,141257.84
organic,2293.33,10302.21,0,12595.54
conventional,57777.05,1023.87,2972.04,61772.96
organic,913.33,433.71,0,1347.04
conventional,48150.41,4209.37,136.83,52496.61
organic,596.67,0,0,596.67
conventional,472576.07,78544.87,9512.88,560633.82
organic,17758.89,1562.29,0,19321.18
conventional,75408.57,1134.34,0,76542.91
organic,3236.44,0,0,3236.44
conventional,65594.58,2872.47,0,68467.05
organic,626.98,0,0,626.98
conventional,103507.51,11011.54,0,114519.05
organic,1100,0,0,1100
conventional,18968.55,12562.27,1988.2,33519.02
organic,1226.67,38.83,0,1265.5
conventional,11016.44,8380.8,0,19397.24
organic,1273.33,0,0,1273.33
conventional,42743.96,964.72,0,43708.68
organic,713.33,0,0,713.33
conventional,280560.62,44327.49,2266.22,327154.33
organic,7820.93,0,0,7820.93
conventional,10210.07,9464.13,288.64,19962.84
organic,393.33,207.63,0,600.96
conventional,36164.82,26280.29,0,62445.11
organic,1173.33,0,0,1173.33
conventional,543231.71,75649.4,620.61,619501.72
organic,23654.98,2415.01,0,26069.99
conventional,25896.73,2229.29,0,28126.02
organic,743.33,792.91,0,1536.24
conventional,61345.53,2212.59,0,63558.12
organic,3090,0,0,3090
conventional,249204.48,68760.02,0,317964.5
organic,9786.27,0,0,9786.27
conventional,869917.39,96055.45,1.64,965974.48
organic,43044.39,288.48,0,43332.87
conventional,50014.8,837.78,0,50852.58
organic,7333.91,0,0,7333.91
conventional,18229.35,24162.82,0,42392.17
organic,1616.67,0,0,1616.67
conventional,100107.79,13683.87,1.51,113793.17
organic,2880.19,0,0,2880.19
conventional,79618.55,0,0,79618.55
organic,1786.67,0,0,1786.67
conventional,20249.85,5860.9,0,26110.75
organic,1138.48,316.39,0,1454.87
conventional,212347.25,690.66,1102.43,214140.34
organic,14104.27,1298.58,0,15402.85
conventional,38999.96,1125.5,0,40125.46
organic,710,8270.94,0,8980.94
conventional,62051.18,10971.15,0,73022.33
organic,2635.69,84.75,0,2720.44
conventional,42969.44,6301.94,0,49271.38
organic,2083.33,215.88,0,2299.21
conventional,25981.67,2572.97,0,28554.64
organic,1583.33,297.94,0,1881.27
conventional,40435.38,0,0,40435.38
organic,1658.67,0,0,1658.67
conventional,36417.77,5526.46,223.98,42168.21
organic,1111.58,0,0,1111.58
conventional,74003.77,733.33,27.5,74764.6
organic,598.61,0,0,598.61
conventional,65239.69,2117.07,4.58,67361.34
organic,586.67,10406.33,0,10993
conventional,44770.78,14772.98,0,59543.76
organic,2600,302.76,0,2902.76
conventional,518539.89,54886.55,85.88,573512.32
organic,29646.67,668.82,0,30315.49
conventional,272767.32,185194.81,0,457962.13
organic,20283.33,2615.05,0,22898.38
conventional,5135.22,190.53,0,5325.75
organic,223.33,485.44,0,708.77
conventional,41880.81,2.22,0,41883.03
organic,753.33,0,0,753.33
conventional,23658.13,424.44,0,24082.57
organic,1169.21,0,0,1169.21
conventional,25516.89,33732.3,0,59249.19
organic,2063.33,0,0,2063.33
conventional,4022474.85,673453.54,13924.23,4709852.62
organic,179887.47,56114.46,0,236001.93
conventional,579412.5,126120.73,68.2,705601.43
organic,17633.33,47266.25,0,64899.58
conventional,81116.25,2342.82,0,83459.07
organic,4163.33,0,0,4163.33
conventional,9979.87,333.16,0,10313.03
organic,1076.54,0,0,1076.54
conventional,26727.66,18158.26,0,44885.92
organic,700,417.03,0,1117.03
conventional,174864.87,5125.31,0,179990.18
organic,6065.55,0,0,6065.55
conventional,3647.52,1693.34,0,5340.86
organic,166.67,239.37,0,406.04
conventional,114283.61,555.55,0,114839.16
organic,1574.04,0,0,1574.04
conventional,55232.63,124.44,0,55357.07
organic,1132.95,0,0,1132.95
conventional,544990.68,47017.93,2403.05,594411.66
organic,9364.64,0,0,9364.64
conventional,40419.97,9128.47,0,49548.44
organic,751.27,0,0,751.27
conventional,92518.95,5112.69,19.58,97651.22
organic,1393.33,0,0,1393.33
conventional,21356.07,17556.58,705.21,39617.86
organic,780,245.19,0,1025.19
conventional,22104.1,1860.18,597.63,24561.91
organic,706.67,604.74,0,1311.41
conventional,67518.45,15061.17,6.84,82586.46
organic,3050,0,0,3050
conventional,80270.81,19965.51,25.26,100261.58
organic,953.33,9285.47,0,10238.8
conventional,78474.19,676.16,3042.91,82193.26
organic,293.33,567.9,0,861.23
conventional,57601.99,6203.39,56.32,63861.7
organic,203.33,0,0,203.33
conventional,561485.4,81172.24,7922.8,650580.44
organic,11050,2685.62,0,13735.62
conventional,72146.24,1118.17,0,73264.41
organic,4375.45,0,0,4375.45
conventional,79026.53,1555.17,0,80581.7
organic,652.54,0,0,652.54
conventional,83840.62,36308.16,0,120148.78
organic,1170,0,0,1170
conventional,22442.7,12428.29,903.98,35774.97
organic,450,106.39,0,556.39
conventional,15354.4,9073.11,0,24427.51
organic,616.67,0,0,616.67
conventional,38196.57,306.69,0,38503.26
organic,300,0,0,300
conventional,271596.41,35034.18,2124.32,308754.91
organic,7070.87,0,0,7070.87
conventional,11567.45,12926.67,319.96,24814.08
organic,326.67,116.41,0,443.08
conventional,38771.73,35738.26,0,74509.99
organic,880,0,0,880
conventional,515932.56,81139.48,611.03,597683.07
organic,18624.73,3388.18,0,22012.91
conventional,21186.15,2715.03,0,23901.18
organic,250,1471.49,0,1721.49
conventional,60468.24,2195.38,0,62663.62
organic,4886.67,0,0,4886.67
conventional,240950.54,48408.81,0,289359.35
organic,7481.76,0,0,7481.76
conventional,864046.29,65744.96,0,929791.25
organic,32381.03,148.46,0,32529.49
conventional,53303.8,162.22,0,53466.02
organic,6600.52,0,0,6600.52
conventional,20733.73,23641.65,0,44375.38
organic,610,0,0,610
conventional,97737.29,9380.48,0,107117.77
organic,3714.64,0,0,3714.64
conventional,71344.45,7.53,0,71351.98
organic,1096.68,15.05,0,1111.73
conventional,19783.32,4553.26,0,24336.58
organic,760.32,157.23,0,917.55
conventional,231591.27,844.44,866.56,233302.27
organic,14480.47,1224.83,0,15705.3
conventional,51454.09,2472.63,7.76,53934.48
organic,180,3707.23,0,3887.23
conventional,49618.45,11378.42,0,60996.87
organic,1690.1,27.39,0,1717.49
conventional,41738.23,5836.52,0,47574.75
organic,1070,180.5,0,1250.5
