average_price,plu_4046,plu_4225,plu_4770,geography
1.79,5.19,676.38,0,Louisville
1.3,285204.29,42798.99,42.64,Miami/Ft. Lauderdale
1.87,1054.78,17.92,0,Miami/Ft. Lauderdale
1.19,530333.83,1045424.87,186027.52,Midsouth
1.65,11415.28,25306.56,3345.08,Midsouth
1.08,97216.47,8423.57,12187.72,Nashville
1.81,188.44,1951.63,86.02,Nashville
1.03,179991.12,23263.42,213.64,New Orleans/Mobile
0.98,256.53,2.64,0,New Orleans/Mobile
1.37,18945.56,749309.2,3039.37,New York
2.08,692.88,7146.78,37.93,New York
1.32,91803.09,2098784.32,7215.59,Northeast
1.94,1461.14,13317.36,73.5,Northeast
1.12,3012.79,241380.95,38.05,Northern New England
1.88,0,569.28,0,Northern New England
1.33,112722.12,34703.28,83.8,Orlando
1.79,1237.16,31.27,0,Orlando
1.4,15116.27,209523.15,1469.44,Philadelphia
1.93,258.85,731.44,19.58,Philadelphia
0.67,811662.62,200514.36,5643.07,Phoenix/Tucson
1.36,10248.57,1529.97,0,Phoenix/Tucson
1.47,2147.08,36730.4,1075.26,Pittsburgh
1.55,312.68,709.27,0,Pittsburgh
1.02,966515.75,485150.34,14504.7,Plains
1.8,6340.18,13476.2,34.56,Plains
1.11,155745.95,220991.54,14692.73,Portland
1.24,11894.56,30078.32,4.7,Portland
1.22,48613.54,55881.05,39543.93,Raleigh/Greensboro
1.97,78.13,1775.25,628.28,Raleigh/Greensboro
1.18,54459.4,66963.59,9958.28,Richmond/Norfolk
1.62,120.23,2152.16,363.06,Richmond/Norfolk
1.18,44676.56,37854.42,117.98,Roanoke
1.48,109.68,4464.75,0,Roanoke
1.22,83097.77,238956.51,5672.46,Sacramento
1.13,15363.18,20986.36,0,Sacramento
1.01,250311.74,163944.2,14125.01,San Diego
1.29,12300.47,580.15,0,San Diego
1.22,107566.95,554501.21,12868.74,San Francisco
1.27,26336.41,14789.4,0,San Francisco
1.2,160898.14,223145.82,11177.67,Seattle
1.45,6222.73,30224.67,7.34,Seattle
1.15,160256.58,44019.64,14954.1,South Carolina
1.93,686.69,656.63,310.28,South Carolina
0.79,2839359.92,1782045.18,146481.44,South Central
1.27,32913.28,6344.03,0,South Central
1.19,1815847.03,273695.84,22004.31,Southeast
1.79,10781.05,3489.26,498.66,Southeast
1.18,28457.99,29719.57,2933.27,Spokane
1.44,582.64,3132.56,0,Spokane
1.28,78724.96,50701.59,145.35,St. Louis
1.92,2410.28,213.12,0,St. Louis
1.4,789.84,24755.46,27.89,Syracuse
1.84,0,151.46,0,Syracuse
1.27,132142.6,33674.07,37.38,Tampa
1.73,810.58,23.95,0,Tampa
1.03,11858139.34,11701947.8,831301.9,Total U.S.
1.42,254319.58,311811.01,4020.85,Total U.S.
0.96,2431736.63,2258069.63,76348.13,West
1.33,64328.76,147608.3,69.05,West
0.8,516446.41,128438.87,12473.14,West Tex/New Mexico
1.71,1793.64,2078.72,0,West Tex/New Mexico
1.06,941.38,33196.16,164.14,Albany
1.89,14.87,148.72,0,Albany
1.1,393408.17,18718.27,594.25,Atlanta
1.87,1578.59,735.23,0,Atlanta
1.2,49696.14,386398.73,39488.95,Baltimore/Washington
1.41,8097.26,5023.48,528.36,Baltimore/Washington
1.03,51922.06,7555.95,2061.16,Boise
1.82,1.26,858.4,0,Boise
1.17,4730.77,288094.65,45.98,Boston
2.01,3.14,760.39,0,Boston
1.5,1321.19,54007.48,74.53,Buffalo/Rochester
1.6,16.46,90.53,0,Buffalo/Rochester
1.06,2380955.61,1827783.28,150535.5,California
1.3,80952.24,28216.13,0,California
1.18,37383.37,44000.75,31576.2,Charlotte
2.29,347.67,956.65,920.11,Charlotte
1.22,26117.56,488218.44,145882.24,Chicago
1.83,711.63,9515.44,0,Chicago
0.93,3617.45,162644.69,656.23,Cincinnati/Dayton
1.26,220.4,8150.22,0,Cincinnati/Dayton
1.08,53201.66,32775.08,7822.59,Columbus
1.67,350.39,3650.73,0,Columbus
0.8,649344.32,271152.06,9610.83,Dallas/Ft. Worth
1.34,7244.18,1390.2,0,Dallas/Ft. Worth
1.02,140914.23,422434.82,4944.79,Denver
1.33,4271.13,8412.17,584.78,Denver
1.19,110113.35,47558.4,45889.29,Detroit
1.62,580.39,7210.53,0,Detroit
1.19,1112.09,78092.72,6374.01,Grand Rapids
2.01,59.16,572.36,0,Grand Rapids
1.13,390289.67,1649082.75,271642.56,Great Lakes
1.63,3609.5,45327.3,0,Great Lakes
1.17,33193.27,89075.29,426.35,Harrisburg/Scranton
1.8,97.75,171.42,0,Harrisburg/Scranton
1.35,4305.86,150044.76,231.99,Hartford/Springfield
2.21,73.54,1602.72,9.36,Hartford/Springfield
0.77,549415.32,309974.97,4231.47,Houston
1.24,9698.27,893.97,0,Houston
1.06,3642.56,108152.4,724.5,Indianapolis
1.78,49.75,765.47,0,Indianapolis
1.2,66985.59,14505.13,523.89,Jacksonville
1.88,853.38,22.43,1.18,Jacksonville
1.06,114584.67,98937.17,3874.78,Las Vegas
1.66,2421.36,3050.67,0,Las Vegas
0.96,1518406.36,456562.55,60922.43,Los Angeles
1.23,28037.64,1355.8,0,Los Angeles
1.02,2283,63038.53,234.29,Louisville
1.68,3.57,740.48,0,Louisville
1.27,289948.64,41120.06,65.81,Miami/Ft. Lauderdale
1.84,1091.95,26.89,0,Miami/Ft. Lauderdale
1.15,566435.98,1077630.8,164873.48,Midsouth
1.63,11160.54,26029.58,3297.83,Midsouth
1.07,95428.54,8371.74,11082.07,Nashville
1.71,192.26,2511.65,60.36,Nashville
0.94,188798.96,12771.98,352.52,New Orleans/Mobile
1.47,204.19,10.61,0,New Orleans/Mobile
1.36,18101.89,768131.81,3184.12,New York
2.02,1363.4,10912.03,46.42,New York
1.27,96761.81,2129188.49,7923.65,Northeast
1.92,2519.17,17147.02,73.05,Northeast
1.06,3806.65,233232.89,24.12,Northern New England
1.9,0,593.56,0,Northern New England
1.28,133616.3,29418.39,91.59,Orlando
1.82,1174.98,53.81,0,Orlando
1.36,16112.5,211453.65,1409.19,Philadelphia
1.82,235.21,1358.88,22.7,Philadelphia
0.61,1002267.22,150640.9,5034.13,Phoenix/Tucson
1.54,7988.43,1728.24,0,Phoenix/Tucson
1.32,1847.59,70060.41,2397.99,Pittsburgh
1.7,598.03,91.36,0,Pittsburgh
1.08,841332.54,454162.3,14022.68,Plains
1.8,3732.84,14987.92,20.69,Plains
1.09,131530.29,229573.27,13384.3,Portland
1.35,15946.79,10638.92,3.13,Portland
1.16,61158.75,59374.75,36067.46,Raleigh/Greensboro
2.02,60.84,1948.96,627.92,Raleigh/Greensboro
1.17,54046.97,75205.48,8644.27,Richmond/Norfolk
1.57,184.69,1998.19,325.29,Richmond/Norfolk
1.15,48244.28,41412.29,103.6,Roanoke
1.47,117.84,4133.72,0,Roanoke
1.19,101289.29,210411.75,9507.42,Sacramento
1.44,4291.23,4741.77,0,Sacramento
1.02,217747.34,140456.68,13326.97,San Diego
1.26,9245.07,470.05,0,San Diego
1.21,127276.45,481792.41,21293.67,San Francisco
1.34,17038.27,9879.87,0,San Francisco
1.26,118569.87,228985.5,11119.33,Seattle
1.7,6876.29,17363.12,7.33,Seattle
1.06,187805.04,46947.97,12431.59,South Carolina
2.01,776.54,621.95,450.46,South Carolina
0.81,3205533.39,1298842.9,68870.69,South Central
1.37,34211.11,8792.21,0,South Central
1.15,1990978.47,266024.34,18600.92,Southeast
1.81,9855.11,3187.02,612.99,Southeast
1.21,23843.63,29590.6,2672.12,Spokane
1.66,611.87,2325.24,3.65,Spokane
1.17,99020.78,31381.54,42.62,St. Louis
1.93,1526.97,2031.56,0,St. Louis
1.37,810.15,22526.2,36.39,Syracuse
1.77,1.24,130.95,0,Syracuse
1.21,161291,30244.52,40.52,Tampa
1.75,715.42,17.95,0,Tampa
1.04,12167445.03,10734652.82,768020.05,Total U.S.
1.53,207494.87,212312.02,4753.87,Total U.S.
0.94,2695157.56,2031937.97,71550.57,West
1.52,61454.35,68624.86,749.3,West
0.8,519142.82,124248.86,10573.29,West Tex/New Mexico
1.63,1934.46,3032.72,0,West Tex/New Mexico
0.99,1353.9,60017.2,179.32,Albany
1.83,33.12,99.36,0,Albany
0.96,553198.56,31583.38,294.94,Atlanta
1.44,1565.49,4210.72,0,Atlanta
1.06,93166.54,666010.38,83652.48,Baltimore/Washington
1.15,14635.12,8013.19,667.82,Baltimore/Washington
0.91,67496.3,36532.33,2904.77,Boise
1.43,0,999.31,0,Boise
1.22,6082.88,373452.06,272.81,Boston
1.78,12.18,1308.94,0,Boston
1.33,2117.73,64770.55,112.49,Buffalo/Rochester
1.55,18.78,102.35,0,Buffalo/Rochester
0.85,4794142.14,3460743.8,177145.49,California
1.11,142332.45,41999.51,2.92,California
0.98,52915.5,71209.89,80813.88,Charlotte
1.93,210.49,1244.18,1457.98,Charlotte
0.91,50783.91,824745.44,164884.41,Chicago
1.52,1363.35,11835.47,0,Chicago
0.86,4665.89,224967.68,19442.29,Cincinnati/Dayton
1.19,218.51,9140.29,0,Cincinnati/Dayton
0.87,111171.46,59739.98,21795.64,Columbus
1.63,432.24,2985.02,0,Columbus
0.68,786166.9,495262.11,18855.32,Dallas/Ft. Worth
1.24,6669.52,1653.73,0,Dallas/Ft. Worth
0.93,217715.85,608156.34,5736.45,Denver
1.29,4823.79,10709.5,104.48,Denver
0.92,205775.28,136119.82,127173.89,Detroit
1.55,449.84,6955.71,0,Detroit
0.94,1621.68,240215.65,19211.54,Grand Rapids
1.98,52.14,620.24,0,Grand Rapids
0.91,768874.35,2948564.71,510153.65,Great Lakes
1.53,4062.76,46378.83,0,Great Lakes
1.06,42732.12,168621.69,851.33,Harrisburg/Scranton
1.65,39.55,151.13,0,Harrisburg/Scranton
1.32,4803.72,216923.02,364.83,Hartford/Springfield
1.54,88.08,5406.05,2.67,Hartford/Springfield
0.72,540024.17,597855.73,8063.4,Houston
1.15,9833.51,1505.58,0,Houston
0.92,7245.61,181784.28,14761.53,Indianapolis
1.69,45.17,805.09,0,Indianapolis
0.92,171139.21,22525.96,1299.6,Jacksonville
1.76,805.42,60.41,5.92,Jacksonville
0.94,144461.66,185057.29,4255.15,Las Vegas
1.6,4366.54,2884.3,0,Las Vegas
0.74,2770656.27,854673.24,64439.7,Los Angeles
1.12,39628.65,1721.95,0,Los Angeles
0.9,5378.31,83854.56,5155.25,Louisville
1.55,0,772.41,0,Louisville
0.95,566917.32,74532.61,82.04,Miami/Ft. Lauderdale
1.73,827.35,16.62,0,Miami/Ft. Lauderdale
0.99,888523.17,1798504.77,388259.15,Midsouth
1.44,17276.51,30751.68,4813.6,Midsouth
0.94,160834.57,13445.84,17578.18,Nashville
1.65,213.64,2682.26,99.55,Nashville
0.81,271075.59,11860.86,426.32,New Orleans/Mobile
1.48,162.22,34.57,0,New Orleans/Mobile
1.36,22622.87,1084529.78,3251.93,New York
1.93,1867.35,12683.96,7.36,New York
1.23,133613,3149375.34,9191.41,Northeast
1.78,3278.92,23694.61,13.97,Northeast
1.06,4353.96,361694.45,34.23,Northern New England
1.89,4.49,568.47,0,Northern New England
0.95,358731.15,50048.43,180.21,Orlando
1.76,1262.74,53.81,0,Orlando
1.14,30263.22,417993.89,1722.1,Philadelphia
1.69,285.43,1416.23,4.72,Philadelphia
0.56,1194635.06,261342.47,6335.66,Phoenix/Tucson
1.18,10810.58,2016.62,0,Phoenix/Tucson
1.25,2685.5,75345.64,2164.35,Pittsburgh
1.77,760.33,74.32,0,Pittsburgh
0.92,1383259.28,926444.37,13768.85,Plains
1.67,3904.24,14499.51,32.15,Plains
0.98,165259.75,535324.57,15903.81,Portland
1.2,20129,12970.57,4.68,Portland
0.99,79507.9,115316.24,88450.29,Raleigh/Greensboro
1.79,27.19,2044.97,968.1,Raleigh/Greensboro
0.97,99429.98,140203.43,21686.02,Richmond/Norfolk
1.58,83.48,2059.65,440.08,Richmond/Norfolk
1,71867.81,65784.29,93.81,Roanoke
1.5,150.16,3819.72,0,Roanoke
1.04,287292.15,429601.75,15342.47,Sacramento
1.22,7103.9,5624.41,0,Sacramento
0.85,357235.87,277723.14,15691.23,San Diego
1.11,16215.48,1142.06,2.89,San Diego
0.91,369580.89,896514.3,20587.92,San Francisco
1.06,38413.44,19160.87,0,San Francisco
0.97,201139.95,578708.75,10182.71,Seattle
1.44,12927.15,21460.13,35.42,Seattle
0.91,284674.2,78055.21,27248.16,South Carolina
1.66,456.99,1272.79,503.05,South Carolina
0.71,3776936.71,2348980.01,161845.27,South Central
1.28,33408.72,10410.41,0,South Central
0.93,3656338.95,451194.73,40258.76,Southeast
1.6,8698.27,9368.82,804.65,Southeast
0.97,35897.25,84741.31,2704.69,Spokane
1.38,2284.35,3738.62,0,Spokane
1.1,209893.28,48651.4,59.1,St. Louis
1.93,912.08,1425.94,0,St. Louis
1.26,1321.47,30243.88,14.24,Syracuse
1.65,3.72,111.53,0,Syracuse
0.92,392037.18,53180.28,79.96,Tampa
1.68,762.21,20.31,0,Tampa
0.89,18933038.04,18956479.74,1381516.11,Total U.S.
1.36,302561.47,259286.44,5852.28,Total U.S.
0.84,3531350.44,3872672,80893.53,West
1.34,89599.59,82183.07,184.99,West
0.71,611270.39,205181.23,14107.36,West Tex/New Mexico
1.77,1634.42,3012.44,0,West Tex/New Mexico
0.99,1357.37,39111.81,163.25,Albany
1.59,27.36,152.74,0,Albany
1.03,377256.38,17162.5,524.85,Atlanta
1.29,1716.38,8656.15,0,Atlanta
1.09,71703.52,554857.41,37437.32,Baltimore/Washington
1.43,6050.1,4361.21,745.2,Baltimore/Washington
1.07,54229.34,9647.24,3047,Boise
1.35,13.74,2832.21,0,Boise
1.04,7653.19,495731.7,383.73,Boston
1.91,15.18,948.71,0,Boston
1.36,1822.41,66261.92,161.96,Buffalo/Rochester
1.54,24.6,115.96,0,Buffalo/Rochester
0.91,2908845.38,2200393.89,149458.93,California
1.35,94440.9,24587.9,0,California
1.17,31509.41,35566.91,31778.73,Charlotte
1.87,188.23,1382.91,1092.82,Charlotte
1.13,28216.83,499138.28,119634.41,Chicago
1.78,1224.22,6971.06,0,Chicago
0.93,4246.12,140926.77,4185.64,Cincinnati/Dayton
1.24,225.93,8949.13,0,Cincinnati/Dayton
0.96,76792.99,23238.8,7652.85,Columbus
1.78,285.2,2071.17,0,Columbus
0.67,737968.75,376914.26,12106.6,Dallas/Ft. Worth
1.35,6135.93,826.06,0,Dallas/Ft. Worth
0.95,153584.14,466313.49,5420.92,Denver
1.4,3017.93,7175.41,9.63,Denver
1.11,129910.26,35996.84,40515.81,Detroit
1.86,509.02,4643.12,0,Detroit
1.24,1155.67,74113.5,4855.23,Grand Rapids
1.79,84.83,402.27,0,Grand Rapids
1.07,515789.01,1541252.99,238780.53,Great Lakes
1.64,3711.76,35512.66,0,Great Lakes
1.02,35933.38,126557.74,722.59,Harrisburg/Scranton
1.67,35.2,136.56,0,Harrisburg/Scranton
1.09,6791.17,289098.22,215.13,Hartford/Springfield
2.37,49.13,4531.32,15.93,Hartford/Springfield
0.7,525259.71,535768.93,5175.33,Houston
1.25,7272.68,704.91,0,Houston
0.98,7650.86,109166.71,8455.43,Indianapolis
