date ,average_price,total_volume,PLU 4046,PLU 4225,PLU 4770,total_bags,small_bags,large_bags,xlarge_bags,type,year
5/5/2015,$4.62,14.08,74.78,44.67,24.11,83.0,20,23,95,F,1995
5/2/2015,$3.71,13.79,82.69,69.76,82.04,19.54,80,14,23,M,2008
3/19/2020,$8.07,92.89,51.89,85.24,74.07,19.26,78,74,21,F,1967
3/20/2016,$7.65,78.68,72.19,60.03,4.71,33.83,87,38,83,F,1986
12/15/2017,$6.11,87.59,91.32,40.29,24.96,63.33,60,76,88,M,2004
2/7/2020,$8.63,9.36,61.77,89.71,43.98,35.69,72,19,17,M,2007
4/16/2019,$2.73,52.15,21.41,83.35,19.28,68.43,11,7,39,F,2009
11/3/2016,$4.73,85.38,2.13,39.6,98.45,48.7,99,15,12,F,1994
5/3/2018,$1.01,89.46,43.69,50.14,78.92,7.75,51,83,50,M,1984
4/13/2019,$2.32,40.5,94.29,84.08,88.14,87.15,69,48,37,M,1992
12/10/2019,$7.58,93.87,58.19,23.77,9.67,34.74,95,73,46,F,2003
1/28/2015,$1.58,33.46,91.08,33.14,73.35,66.47,54,4,73,F,2008
11/22/2019,$8.75,9.97,19.19,42.0,63.11,52.28,8,100,5,F,2007
3/12/2019,$8.20,28.8,62.93,79.61,31.12,98.62,19,16,21,M,1999
8/3/2015,$5.89,1.98,73.99,54.32,84.03,81.3,32,67,4,F,2010
8/5/2015,$1.82,69.59,95.55,17.54,79.01,11.27,27,47,50,M,1992
11/6/2015,$6.94,85.23,16.38,93.1,1.19,90.42,90,49,78,M,1969
10/18/2015,$8.28,15.07,1.96,97.17,59.4,35.43,29,37,99,M,2005
8/12/2015,$8.07,36.09,70.2,53.46,58.81,5.63,10,100,58,F,1997
8/7/2017,$5.98,89.33,61.01,40.24,83.22,34.8,91,1,37,M,2012
8/17/2015,$7.56,25.92,71.6,23.14,74.66,48.59,57,11,84,F,1977
3/3/2016,$2.56,51.21,16.2,79.51,95.76,88.66,9,91,5,M,1997
12/9/2018,$2.13,67.66,94.41,11.85,82.73,89.11,57,31,87,F,2010
4/28/2019,$3.95,71.59,31.56,31.34,29.8,59.23,60,99,5,F,1999
9/22/2017,$5.60,18.33,59.48,68.45,22.76,68.65,38,22,38,F,1997
12/12/2015,$4.89,46.83,16.09,37.84,47.96,85.35,90,61,98,M,2000
7/15/2019,$0.45,79.42,67.54,80.94,56.59,77.47,5,54,34,M,2003
1/1/2018,$8.13,58.1,77.01,69.65,58.7,40.84,54,33,42,M,2003
3/2/2016,$7.40,74.89,76.78,69.37,64.85,94.84,10,60,80,F,2008
1/18/2020,$5.89,61.07,2.46,22.61,22.53,29.64,71,8,4,M,1999
2/6/2015,$1.99,12.93,61.08,38.14,90.77,43.0,25,79,79,F,2007
9/30/2017,$8.85,37.1,21.8,7.28,44.74,52.39,37,48,54,M,1994
12/3/2017,$1.78,41.9,23.35,12.16,23.21,63.42,63,45,67,F,2003
12/11/2017,$0.85,82.07,34.59,86.6,18.35,16.07,3,42,9,M,1992
3/26/2015,$2.89,87.37,81.38,98.7,3.37,43.78,42,85,29,F,1964
5/30/2016,$1.51,61.02,10.58,48.8,6.28,10.35,44,82,26,F,1991
1/8/2015,$1.52,97.9,23.65,24.58,1.31,56.1,100,68,21,M,1992
1/21/2020,$0.24,30.82,57.06,53.82,96.97,14.64,51,72,39,F,2005
3/17/2016,$4.23,32.74,83.16,94.59,31.58,68.82,11,8,17,F,1996
11/13/2016,$8.17,10.98,32.67,72.98,95.74,77.44,20,45,3,M,1988
12/6/2015,$1.60,17.28,7.48,92.42,76.77,97.5,77,86,84,F,1980
5/13/2019,$3.76,53.52,19.35,50.17,88.62,48.72,11,51,26,F,2007
10/30/2015,$9.05,5.64,55.53,97.1,13.11,75.24,76,50,25,F,2004
6/19/2017,$6.21,58.27,49.06,68.6,92.36,12.28,2,4,63,M,1995
2/10/2018,$5.83,31.02,3.58,22.45,13.92,40.68,28,32,25,M,2009
7/29/2017,$2.04,94.11,45.73,88.32,54.51,70.38,38,26,34,M,2011
5/9/2016,$6.97,14.0,21.9,53.8,34.5,5.92,38,29,86,F,1994
4/30/2020,$5.94,63.79,79.53,63.34,42.66,80.65,89,92,95,F,1997
12/7/2019,$2.71,73.2,77.97,56.38,93.1,23.12,10,23,23,M,2010
2/22/2015,$3.27,32.82,93.88,81.89,92.69,45.64,33,85,2,F,2008
7/1/2017,$9.14,69.35,51.3,91.09,30.42,88.77,42,99,12,F,2005
1/17/2016,$9.53,88.92,82.09,59.91,10.01,91.45,46,11,64,M,2004
4/17/2016,$5.99,36.99,33.23,27.53,8.78,33.13,44,40,63,F,1999
2/11/2017,$0.74,34.75,60.18,57.02,86.94,99.4,59,43,59,F,2008
5/6/2019,$7.54,71.52,70.42,58.7,56.57,24.0,16,50,36,M,1988
10/7/2019,$3.39,77.15,65.35,36.1,76.28,55.2,31,35,72,F,1988
7/8/2019,$4.54,39.0,51.3,75.49,27.57,24.55,98,6,79,F,1995
10/5/2018,$4.75,78.17,13.33,56.92,55.04,30.19,9,20,22,F,2011
12/15/2016,$9.94,95.61,63.02,36.27,95.49,75.28,70,80,1,F,1996
4/20/2018,$4.72,14.1,64.94,34.65,66.65,90.57,57,22,77,F,1989
8/3/2016,$0.78,64.74,77.18,5.06,39.13,83.33,4,80,52,M,2012
2/23/2020,$4.32,67.61,60.46,50.33,54.39,84.8,96,73,78,M,2008
2/4/2016,$6.82,58.62,59.42,32.13,90.45,19.85,13,77,42,M,2006
4/6/2016,$7.07,24.88,64.51,62.63,23.53,74.71,5,17,63,M,2008
6/13/2015,$6.62,4.34,50.09,7.24,74.68,24.9,28,44,2,F,2004
3/17/2016,$6.80,64.65,27.22,83.92,60.73,32.49,3,27,34,F,1996
4/22/2017,$9.01,95.75,33.49,73.81,77.18,11.86,61,44,77,F,2004
1/25/2019,$6.94,20.54,78.15,15.42,23.71,95.93,9,81,58,M,2006
11/2/2015,$2.77,44.19,85.59,22.04,31.37,1.16,15,83,10,M,1993
3/8/2017,$2.56,73.51,65.12,67.35,44.16,80.72,81,58,59,F,2000
11/13/2017,$7.75,11.31,80.51,49.58,49.11,66.99,23,63,47,F,2007
11/6/2016,$2.78,54.84,5.23,96.13,98.96,15.07,27,76,42,M,2005
7/19/2015,$3.30,61.85,83.35,31.56,88.27,28.39,7,31,88,F,1997
4/18/2018,$5.55,81.54,88.8,31.48,78.29,93.57,38,31,22,F,1991
7/5/2018,$0.84,62.02,51.78,52.76,21.41,49.62,29,2,4,F,2012
2/2/2017,$7.21,99.63,80.92,46.85,57.96,97.79,80,64,24,M,2001
5/22/2019,$0.47,98.62,15.8,85.85,80.94,31.15,82,61,48,F,2013
8/31/2018,$5.87,88.37,43.28,90.31,90.77,51.74,8,7,73,F,1996
5/8/2016,$8.91,7.95,57.25,97.77,37.36,1.1,25,86,99,F,2009
6/22/2018,$0.08,62.01,25.07,98.87,8.4,67.0,20,41,15,F,1998
1/9/2016,$9.31,31.1,14.18,75.03,60.77,83.44,75,32,76,F,1996
10/19/2019,$4.57,18.25,72.48,66.96,80.55,10.31,27,96,73,F,2006
7/21/2016,$3.01,42.16,51.53,29.33,33.84,69.85,57,64,30,F,1985
11/20/2016,$9.24,22.85,15.02,79.91,86.55,47.97,21,33,23,F,2007
9/27/2015,$0.44,26.23,23.03,32.68,19.39,9.84,63,55,99,M,1993
7/31/2019,$6.48,64.47,39.8,76.09,14.58,33.67,29,34,18,F,2002
8/27/2018,$5.18,65.77,35.76,27.31,77.63,63.29,10,29,69,M,2009
4/23/2016,$0.05,13.31,95.03,92.85,40.43,58.76,98,44,23,M,1960
1/14/2020,$2.46,67.15,1.45,95.59,25.37,77.11,8,98,94,M,1984
4/12/2015,$2.00,88.63,78.11,8.78,41.57,78.9,47,95,97,F,1990
2/16/2015,$0.31,5.85,8.54,37.37,47.51,13.55,70,28,69,F,2007
1/2/2016,$8.70,35.66,59.42,38.74,33.6,4.72,27,47,26,F,2008
2/23/2017,$2.32,70.68,62.33,7.11,43.24,33.17,30,17,56,M,1999
12/31/2019,$4.77,18.03,97.72,77.0,48.48,60.27,78,16,84,M,1994
3/21/2018,$3.05,27.6,65.02,35.76,95.09,87.09,70,36,5,M,2012
4/12/2015,$0.01,57.84,28.18,29.43,26.05,64.97,24,84,11,M,2005
12/28/2016,$5.72,12.31,40.48,64.86,47.61,62.04,86,25,79,F,1989
2/25/2016,$8.08,65.72,53.78,61.11,51.69,71.63,61,45,61,F,2011
5/18/2016,$2.20,44.15,38.98,86.27,36.94,35.78,16,41,59,F,1998
10/25/2019,$9.87,67.43,65.64,54.43,53.78,40.98,43,60,33,M,1987
5/18/2018,$9.00,67.19,26.68,12.1,18.12,33.0,87,58,79,M,2006
7/27/2017,$9.32,35.88,55.86,23.48,37.11,8.23,94,97,1,F,1988
8/22/2019,$3.04,71.88,88.91,13.41,32.44,26.72,8,52,59,F,1987
4/2/2017,$9.83,25.41,11.06,24.65,83.44,48.64,78,35,79,F,2011
12/30/2017,$5.48,69.76,29.85,7.45,60.78,52.07,26,68,19,M,1976
11/10/2018,$7.00,96.8,93.77,5.7,4.44,28.53,95,21,79,M,2002
2/20/2020,$9.42,42.85,85.35,83.97,73.75,50.17,60,20,43,F,2008
10/9/2018,$9.81,40.1,44.07,92.29,67.69,18.91,70,52,48,F,2010
11/19/2016,$3.37,66.02,18.05,18.48,42.71,51.08,26,53,100,M,1998
6/18/2016,$0.06,14.4,71.95,55.17,67.51,41.86,20,48,65,F,2006
4/17/2020,$1.41,90.11,8.0,85.91,65.42,9.88,25,32,33,M,2012
6/1/2015,$7.95,20.39,27.96,89.73,86.34,48.37,23,49,4,F,2009
8/3/2015,$7.52,87.79,37.0,61.97,40.9,27.32,94,46,99,M,2003
10/26/2018,$4.75,5.21,48.7,9.66,66.54,16.51,6,83,93,M,2010
6/13/2019,$8.64,92.0,14.68,87.69,11.29,20.86,78,16,21,F,2007
1/25/2016,$1.13,84.08,55.21,27.83,24.77,60.95,41,92,60,F,2005
1/15/2017,$4.79,67.42,98.75,25.19,77.8,49.78,1,80,58,F,1997
2/2/2020,$2.87,13.06,49.77,8.32,47.35,34.69,34,30,59,F,2011
12/10/2015,$3.82,8.9,90.77,11.0,58.4,1.43,75,57,99,F,1967
5/15/2017,$2.20,66.99,12.76,13.29,30.9,81.51,29,24,95,F,1990
7/17/2017,$7.06,71.49,3.54,68.35,5.28,26.85,67,80,11,F,2004
5/22/2016,$6.02,34.03,74.01,50.72,99.37,87.94,26,50,84,F,1999
5/2/2017,$7.13,36.36,62.86,78.24,99.26,51.38,79,18,44,M,2012
7/15/2019,$4.95,4.91,59.9,25.07,94.18,41.62,48,71,20,M,2011
9/22/2019,$2.64,44.21,52.35,13.54,50.96,60.5,15,80,97,F,2004
6/12/2015,$6.05,89.68,23.11,34.29,63.67,90.52,82,10,34,F,2010
12/15/2018,$9.88,23.41,65.46,95.28,61.86,11.13,27,6,56,M,2005
11/13/2016,$9.47,73.05,63.99,24.46,49.92,31.61,63,74,23,M,1993
11/24/2015,$6.36,22.13,61.62,74.29,4.81,84.26,35,59,31,F,2001
6/17/2018,$2.30,40.33,47.06,85.97,53.2,74.64,93,30,59,M,2012
2/9/2020,$0.23,82.24,46.78,94.19,37.56,78.17,53,13,43,F,2006
3/28/2019,$9.90,78.44,80.97,97.72,9.93,88.63,7,2,2,F,1994
4/9/2020,$4.78,55.71,75.71,16.21,34.17,67.74,94,99,24,M,2008
3/30/2017,$6.29,40.56,74.28,88.99,67.37,1.31,27,62,47,F,2011
4/10/2016,$8.71,82.2,76.94,35.29,39.56,65.56,50,73,60,F,1997
4/17/2017,$3.68,74.43,4.71,4.69,8.06,23.78,3,94,32,M,2004
9/10/2017,$8.13,60.61,25.71,98.7,80.07,57.24,64,18,11,M,2002
8/31/2016,$5.92,82.57,85.45,3.62,77.2,79.93,6,54,73,F,2010
3/8/2017,$8.44,58.98,30.31,36.85,44.64,36.55,45,84,29,F,2007
12/16/2015,$2.83,77.57,11.78,86.37,16.91,17.32,74,2,64,F,1993
12/24/2018,$1.72,25.91,93.83,15.54,90.23,18.92,21,50,68,M,2006
11/5/2019,$5.16,24.14,42.15,27.48,99.49,94.42,79,11,60,F,1986
10/2/2015,$2.01,83.44,62.27,44.05,16.1,16.3,68,48,47,M,1992
8/7/2019,$4.45,75.62,84.99,89.12,88.91,3.2,61,63,14,F,2005
6/14/2019,$0.37,15.79,91.98,11.89,71.72,90.27,12,18,13,M,2004
1/29/2016,$0.29,23.52,18.41,62.98,81.47,57.11,45,77,13,F,1992
2/16/2020,$7.69,21.19,99.49,81.06,94.66,62.09,78,67,84,F,2007
10/16/2018,$5.94,98.31,39.06,11.77,74.75,70.27,8,74,99,M,2007
5/18/2015,$6.14,39.31,3.09,48.5,51.96,96.65,45,12,52,F,1967
4/11/2020,$5.36,2.71,98.57,16.28,90.23,17.16,49,48,44,M,2010
1/24/2015,$5.47,80.63,43.5,73.44,41.15,27.1,15,64,60,M,2006
4/1/2015,$1.53,17.2,64.2,73.52,13.24,24.95,61,7,51,M,1998
9/25/2017,$3.30,54.49,88.63,70.28,43.82,79.7,12,12,17,F,1996
12/28/2018,$5.38,65.35,34.55,12.1,24.11,70.4,7,88,69,F,1992
8/3/2019,$6.71,50.45,8.86,32.93,71.39,8.91,17,67,21,M,1997
4/6/2017,$9.01,23.94,55.18,6.66,92.89,12.49,77,39,72,M,2007
2/14/2018,$7.61,32.25,35.4,1.93,84.14,33.72,45,70,64,F,1999
8/29/2018,$7.04,28.43,13.34,26.47,58.27,48.98,31,38,48,F,1992
7/31/2018,$7.82,54.79,31.8,66.43,25.28,57.56,56,80,16,M,2010
6/15/2017,$2.78,71.83,14.33,56.91,73.38,7.11,35,43,32,M,1999
3/20/2018,$2.45,11.47,37.39,75.39,72.85,38.28,67,78,72,F,1983
11/23/2015,$2.79,31.04,55.03,43.12,7.07,46.68,31,44,76,F,2013
10/16/2019,$1.63,31.68,38.2,10.13,31.85,46.99,38,49,28,F,2012
2/16/2015,$0.77,77.44,7.31,24.76,29.9,21.34,60,72,53,M,1989
7/12/2019,$0.82,22.21,57.86,95.19,56.62,23.59,26,82,7,F,1996
1/15/2020,$6.94,13.74,80.12,13.95,29.94,35.43,93,10,84,M,1999
8/17/2018,$2.14,86.82,55.08,99.39,29.53,49.85,74,65,72,F,1997
7/15/2016,$0.04,40.23,47.72,68.96,67.49,10.88,62,44,26,M,1995
1/22/2018,$8.25,81.75,13.89,87.31,79.19,99.86,84,77,2,F,2006
7/12/2016,$4.48,17.7,33.77,97.92,57.91,34.03,30,88,63,M,2007
6/23/2017,$8.71,74.92,13.22,85.89,44.14,73.3,55,16,100,M,2007
9/17/2019,$9.51,28.19,87.38,6.28,81.82,33.38,21,62,6,M,2002
5/2/2020,$8.42,52.58,40.23,61.79,81.84,72.69,83,4,2,M,2008
8/20/2019,$8.77,13.04,53.27,46.98,93.4,5.21,25,2,69,M,2002
3/29/2016,$3.30,65.24,78.87,84.24,7.14,53.98,59,20,28,F,2006
8/19/2015,$2.74,14.69,43.05,82.79,82.52,33.83,75,43,12,F,2011
9/13/2019,$1.68,29.29,83.86,54.22,18.45,76.04,32,100,15,F,1992
8/29/2019,$9.45,63.84,99.34,33.34,32.34,15.08,1,23,69,M,1994
5/22/2016,$7.79,10.05,2.02,72.03,90.92,28.14,14,76,15,M,2007
10/16/2017,$3.46,82.65,69.75,59.89,31.66,19.98,35,6,14,F,2011
1/12/2015,$2.61,83.34,7.31,79.27,55.45,5.08,38,17,84,M,1993
9/29/2018,$6.30,78.5,34.21,74.62,76.0,40.25,15,75,68,M,2002
10/12/2015,$2.87,69.24,83.26,64.0,79.59,96.39,78,88,10,M,2006
1/21/2016,$0.46,40.22,64.04,25.5,68.69,18.47,9,46,30,M,2003
1/11/2016,$8.01,77.84,37.74,21.65,64.2,38.59,85,93,23,F,1994
2/15/2018,$2.89,90.77,25.88,55.35,83.97,52.14,29,22,15,M,2009
6/14/2015,$6.74,57.25,66.42,7.37,6.08,6.32,50,84,44,M,2005
8/18/2017,$5.07,16.4,65.56,67.72,46.19,62.11,33,33,23,M,2005
3/3/2016,$0.42,3.92,80.35,83.92,99.81,97.81,75,38,52,F,2000
11/20/2016,$5.44,1.31,3.6,72.01,35.21,77.03,89,82,73,M,1990
4/18/2017,$7.90,77.84,11.89,5.1,37.26,62.56,77,99,46,M,1995
1/2/2020,$1.34,90.8,71.07,95.87,10.02,51.73,39,55,28,F,2004
7/15/2015,$1.41,62.32,99.03,90.55,84.02,64.64,89,51,7,M,2003
10/16/2015,$1.47,91.06,44.49,51.39,21.34,95.99,31,13,39,F,1995
12/30/2016,$2.89,84.72,69.24,18.93,69.67,79.2,38,2,41,M,1987
12/28/2019,$5.09,81.16,80.18,23.6,86.78,52.31,99,13,75,F,1992
6/29/2018,$8.47,34.36,85.1,21.73,48.97,67.08,91,94,82,M,2009
8/28/2019,$9.57,39.14,75.12,74.32,63.24,69.34,70,65,48,M,2007
5/4/2020,$2.53,37.05,7.5,29.0,26.86,26.01,92,6,54,M,1990
8/5/2019,$4.52,94.23,52.76,66.29,23.89,72.28,52,76,100,F,2010
11/4/2018,$4.54,7.45,88.62,84.85,63.98,13.29,94,24,54,F,1993
3/13/2018,$9.34,69.34,32.48,72.03,15.46,57.73,24,95,54,F,2005
2/5/2019,$5.68,14.61,82.49,74.45,29.19,63.63,92,39,21,F,2011
10/20/2017,$3.90,39.38,17.76,32.47,66.15,21.8,49,92,48,M,2006
10/4/2017,$4.21,57.45,10.94,47.32,55.98,81.62,61,45,2,M,2011
12/6/2019,$1.41,55.99,53.76,99.05,94.74,34.77,30,25,90,F,1994
2/5/2020,$2.23,33.25,49.85,74.76,57.53,15.69,21,88,49,F,1993
1/22/2015,$5.92,27.14,71.29,26.62,66.0,73.11,7,61,29,F,1989
12/10/2019,$8.52,26.6,78.86,52.36,16.18,81.01,21,37,6,M,2006
12/20/2015,$9.52,57.79,61.01,37.53,30.07,78.25,54,7,84,M,1992
1/8/2017,$3.54,94.61,91.21,13.82,4.17,48.6,74,6,17,M,1993
11/12/2015,$9.64,10.33,80.79,7.36,5.03,50.69,46,86,95,M,2009
5/10/2020,$3.89,71.47,34.28,73.64,64.39,41.33,88,78,75,M,1995
12/30/2016,$6.09,97.84,62.4,67.38,45.71,74.66,16,92,90,M,2012
2/11/2017,$7.52,20.53,80.26,31.6,99.87,45.29,18,77,77,M,2000
7/9/2015,$9.54,62.54,57.15,52.77,15.68,13.57,48,77,52,F,2003
11/3/2015,$1.64,17.75,79.4,91.1,68.37,14.1,60,14,48,M,1997
2/11/2020,$7.94,12.78,87.29,16.01,81.6,24.18,77,6,62,M,1994
7/7/2017,$1.58,66.3,82.57,98.65,58.16,54.99,15,71,38,M,2011
7/14/2017,$3.42,77.02,54.33,61.95,42.29,24.13,88,23,72,F,1986
12/20/2018,$8.92,5.63,95.94,23.43,46.58,73.75,50,99,65,F,1998
5/25/2015,$3.19,20.42,47.57,32.91,99.81,60.59,30,32,11,M,2003
8/12/2016,$4.42,39.54,98.86,56.23,90.84,87.2,30,33,36,F,2007
9/22/2017,$1.39,91.69,29.01,6.35,27.7,39.63,47,72,81,M,1993
1/12/2016,$8.65,15.07,12.35,81.07,2.68,82.47,3,29,13,M,2011
12/20/2016,$9.36,13.24,27.6,7.84,19.97,22.63,55,4,46,M,2009
12/10/2017,$1.66,96.99,10.7,93.54,36.5,25.63,9,100,66,F,1991
11/2/2016,$5.68,60.93,63.99,1.6,19.47,21.96,42,86,69,F,1991
11/29/2019,$6.87,8.93,26.61,2.36,53.57,51.71,25,52,49,F,1998
5/29/2015,$3.54,12.52,12.46,51.31,3.2,23.28,37,76,70,M,2006
8/4/2018,$0.79,63.92,52.56,20.35,20.83,34.19,61,85,4,F,1976
2/4/2018,$0.31,70.28,93.1,52.18,62.79,14.65,34,69,36,F,2009
4/10/2016,$2.21,94.75,58.61,49.52,88.33,47.15,51,90,53,F,2010
5/8/2017,$6.82,68.29,20.75,62.72,53.14,20.48,45,6,68,M,2010
7/7/2019,$5.67,63.56,92.55,58.19,5.41,52.48,13,78,71,M,1987
1/30/2019,$3.99,98.36,89.58,52.8,48.49,96.11,32,48,88,F,2000
6/15/2015,$3.61,75.85,21.93,78.19,15.11,47.9,4,39,30,M,2011
1/25/2017,$1.92,16.51,22.71,51.74,77.79,63.88,80,72,93,F,1991
2/20/2018,$7.62,34.92,79.42,70.57,46.08,81.53,55,13,85,F,2002
3/22/2018,$8.44,95.17,5.84,27.91,55.21,54.36,28,20,14,M,2012
2/21/2020,$1.39,95.39,32.96,16.03,96.35,18.81,88,75,70,F,2011
4/23/2017,$1.78,55.29,68.68,18.2,62.49,80.42,56,11,64,M,1993
8/7/2019,$1.07,87.27,20.28,43.42,24.86,11.09,64,32,5,F,2004
5/6/2015,$3.07,89.71,4.14,54.95,52.83,99.53,35,20,99,M,2003
12/10/2016,$3.59,32.82,7.55,12.82,38.98,47.95,7,22,32,F,2008
4/20/2016,$8.18,52.28,31.85,64.32,90.52,80.83,78,82,78,F,1998
9/9/2019,$4.85,73.6,44.15,15.63,63.62,67.41,13,49,48,F,1992
3/14/2018,$0.33,10.54,13.04,55.52,20.11,72.28,83,91,97,M,2003
3/17/2017,$9.35,35.15,74.8,21.44,91.24,91.69,35,28,60,F,1997
5/23/2018,$9.40,60.79,85.19,80.8,68.3,78.55,30,38,42,M,2007
4/4/2016,$1.34,36.86,41.9,56.47,66.96,16.47,78,63,72,F,2010
1/12/2016,$4.37,26.83,14.2,57.5,51.5,11.53,23,46,40,M,1996
5/28/2017,$5.27,52.5,92.86,54.73,82.15,99.64,91,35,58,F,1992
12/8/2015,$0.47,91.74,43.06,69.47,96.35,37.05,41,67,1,F,2003
1/20/2017,$8.26,73.4,90.79,55.12,79.4,99.8,44,23,26,F,1996
2/14/2018,$4.98,15.94,77.37,68.25,93.82,36.6,5,44,9,M,2002
7/30/2018,$7.37,17.43,44.82,92.7,5.96,17.81,77,51,94,F,2010
3/27/2018,$9.95,32.17,27.56,5.29,82.52,45.19,94,55,51,M,1995
1/29/2019,$4.96,39.24,55.02,82.36,61.22,77.45,71,21,50,F,1999
11/26/2015,$3.50,83.38,17.95,42.47,62.48,58.64,91,66,81,M,1995
9/25/2015,$8.44,39.78,79.18,81.51,39.98,3.43,33,34,32,F,2012
2/9/2018,$5.14,79.14,24.06,83.1,79.21,47.17,9,58,45,M,2012
2/15/2015,$1.55,87.32,16.86,48.42,46.51,49.81,44,36,18,F,1990
9/20/2016,$2.66,68.37,72.37,86.81,58.59,38.76,99,97,94,M,1997
4/23/2020,$0.78,56.68,34.87,39.02,78.39,19.24,65,33,22,F,1988
4/20/2019,$8.84,94.91,73.15,89.6,30.56,54.23,60,67,98,M,2006
3/18/2018,$4.05,97.38,97.94,1.77,75.18,57.78,68,84,36,F,2008
5/9/2020,$8.06,57.12,37.54,93.3,40.68,50.61,46,58,56,F,1997
9/1/2016,$8.00,6.7,15.75,61.88,97.51,79.1,13,51,63,M,2002
6/19/2019,$2.08,36.26,98.89,96.24,12.64,52.44,67,95,97,M,2006
12/6/2015,$9.67,21.65,65.75,4.32,12.72,1.98,36,28,42,F,2010
9/14/2017,$2.41,64.85,53.93,23.61,30.14,2.02,81,96,88,F,2009
6/25/2015,$0.78,4.18,56.72,8.28,86.48,16.57,8,94,65,F,2003
5/31/2015,$8.83,83.54,81.77,75.23,85.04,99.89,12,98,28,F,1997
4/3/2017,$5.16,25.21,12.4,75.91,88.7,93.88,44,5,85,F,2007
6/2/2018,$7.45,4.36,44.83,43.22,66.3,93.45,43,8,47,M,1996
