average_price,4046,4225,4770,type,geography
1.0,26607.29,44341.92,3660.64,conventional,Spokane
1.3,723.29,4221.15,0.0,organic,Spokane
1.15,125713.89,34555.73,53.54,conventional,St. Louis
1.8,1552.48,1521.26,0.0,organic,St. Louis
1.33,2506.61,20905.01,16.68,conventional,Syracuse
1.72,0.0,102.71,0.0,organic,Syracuse
0.97,226346.7,37517.53,53.15,conventional,Tampa
1.7,748.62,30.19,0.0,organic,Tampa
0.75,426878.87,147958.43,15267.89,conventional,West Tex/New Mexico
1.64,1561.3,2958.17,0.0,organic,West Tex/New Mexico
1.24,1002.85,31640.34,127.12,conventional,Albany
1.77,39.0,305.12,0.0,organic,Albany
1.11,330411.24,18958.22,1135.18,conventional,Atlanta
1.84,1613.69,1207.72,0.0,organic,Atlanta
1.17,51460.64,420837.82,42526.96,conventional,Baltimore/Washington
1.22,12258.26,7094.53,490.24,organic,Baltimore/Washington
1.18,38112.34,10997.54,3321.89,conventional,Boise
1.44,0.0,1923.4,0.0,organic,Boise
1.1,5548.11,320577.36,121.81,conventional,Boston
1.94,12.82,956.07,0.0,organic,Boston
1.54,1642.25,50985.2,79.61,conventional,Buffalo/Rochester
1.59,0.0,143.51,0.0,organic,Buffalo/Rochester
0.92,2889591.29,2485720.1,103573.42,conventional,California
1.1,123712.51,25975.27,1.47,organic,California
1.26,31586.35,38118.77,40801.77,conventional,Charlotte
2.29,155.92,969.82,832.7,organic,Charlotte
1.15,31239.94,558487.79,133848.57,conventional,Chicago
1.79,1426.75,10900.1,0.0,organic,Chicago
0.92,3612.86,153100.22,1203.53,conventional,Cincinnati/Dayton
1.32,209.52,10352.17,0.0,organic,Cincinnati/Dayton
0.97,64726.71,34844.49,7190.05,conventional,Columbus
1.68,349.17,3226.58,0.0,organic,Columbus
0.76,680572.11,348535.22,11900.83,conventional,Dallas/Ft. Worth
1.35,7136.34,1353.62,0.0,organic,Dallas/Ft. Worth
1.09,110974.25,427723.2,5357.69,conventional,Denver
1.28,8855.89,15070.85,24.8,organic,Denver
1.08,108378.69,90104.73,76985.0,conventional,Detroit
1.87,417.73,5637.76,0.0,organic,Detroit
1.03,972.96,127984.25,13798.9,conventional,Grand Rapids
1.87,29.06,539.72,0.0,organic,Grand Rapids
1.26,34535.57,78778.96,582.3,conventional,Harrisburg/Scranton
1.65,90.15,288.15,0.0,organic,Harrisburg/Scranton
1.38,4365.27,143001.84,223.15,conventional,Hartford/Springfield
2.28,79.31,3190.97,0.0,organic,Hartford/Springfield
0.78,463272.52,441785.8,4094.47,conventional,Houston
1.26,6142.35,818.65,0.0,organic,Houston
1.25,3024.88,100509.97,1771.71,conventional,Indianapolis
1.83,95.46,921.79,0.0,organic,Indianapolis
1.2,57635.74,17025.48,529.41,conventional,Jacksonville
1.91,978.49,24.55,5.85,organic,Jacksonville
0.93,126092.05,101653.19,9591.88,conventional,Las Vegas
1.54,4027.3,2083.92,0.0,organic,Las Vegas
0.85,1786326.65,617233.39,58892.91,conventional,Los Angeles
1.08,52087.31,2063.44,0.0,organic,Los Angeles
1.05,2299.74,53313.74,237.88,conventional,Louisville
1.79,0.0,1219.02,0.0,organic,Louisville
1.28,242922.42,36043.54,38.69,conventional,Miami/Ft. Lauderdale
1.85,1091.28,49.95,0.0,organic,Miami/Ft. Lauderdale
1.07,103822.6,9098.86,11665.78,conventional,Nashville
1.92,204.75,2168.33,80.56,organic,Nashville
0.97,165505.1,10680.54,231.54,conventional,New Orleans/Mobile
1.44,233.3,15.81,0.0,organic,New Orleans/Mobile
1.34,15880.8,714530.7,2315.72,conventional,New York
2.03,1744.44,10901.43,60.93,organic,New York
1.29,119336.02,39236.11,52.44,conventional,Orlando
1.92,1290.27,53.66,0.0,organic,Orlando
1.38,14323.61,198387.14,1715.41,conventional,Philadelphia
1.63,428.55,1809.47,4.83,organic,Philadelphia
0.61,849580.75,182629.59,12237.43,conventional,Phoenix/Tucson
1.36,11523.29,1632.63,0.0,organic,Phoenix/Tucson
1.54,1491.88,33759.12,1325.17,conventional,Pittsburgh
1.82,767.08,328.49,0.0,organic,Pittsburgh
1.05,121596.43,292968.56,22743.24,conventional,Portland
1.22,18893.87,19745.21,0.0,organic,Portland
1.24,43986.78,54185.12,41272.69,conventional,Raleigh/Greensboro
1.98,31.58,1957.67,672.88,organic,Raleigh/Greensboro
1.15,71743.11,66849.97,10952.11,conventional,Richmond/Norfolk
1.66,143.78,2060.44,270.92,organic,Richmond/Norfolk
1.16,45706.36,37629.54,57.82,conventional,Roanoke
1.47,82.94,4065.47,0.0,organic,Roanoke
1.09,109368.41,271300.08,5094.23,conventional,Sacramento
1.27,4243.14,3033.84,0.0,organic,Sacramento
0.82,303369.02,192913.11,12900.65,conventional,San Diego
1.05,18294.44,767.68,1.44,organic,San Diego
1.03,155455.32,670522.75,4107.26,conventional,San Francisco
1.12,17907.49,11586.46,0.0,organic,San Francisco
1.06,144349.43,278069.43,18076.48,conventional,Seattle
1.46,8691.73,33361.78,13.48,organic,Seattle
1.1,162428.39,39713.75,14197.05,conventional,South Carolina
2.06,474.97,793.53,357.87,organic,South Carolina
1.07,21973.57,35996.7,4131.75,conventional,Spokane
1.38,1159.37,3192.62,1.83,organic,Spokane
1.29,79292.59,41050.38,62.72,conventional,St. Louis
1.84,1908.7,1590.15,0.0,organic,St. Louis
1.45,984.29,21576.29,14.93,conventional,Syracuse
1.66,1.24,195.51,0.0,organic,Syracuse
1.24,142237.71,36017.93,56.25,conventional,Tampa
1.84,814.13,44.49,0.0,organic,Tampa
0.92,347125.63,129717.42,27944.07,conventional,West Tex/New Mexico
1.69,1822.28,2377.54,0.0,organic,West Tex/New Mexico
1.17,914.14,31540.32,135.77,conventional,Albany
1.93,8.02,178.78,0.0,organic,Albany
1.11,372236.92,18701.9,511.69,conventional,Atlanta
1.86,2138.51,989.4,0.0,organic,Atlanta
1.23,49947.16,393359.6,40576.08,conventional,Baltimore/Washington
1.41,8148.89,4725.43,659.56,organic,Baltimore/Washington
1.08,50354.95,6342.37,2257.23,conventional,Boise
1.44,8.83,2513.36,0.0,organic,Boise
1.23,4383.76,287778.52,132.53,conventional,Boston
2.0,4.22,834.34,0.0,organic,Boston
1.52,1625.26,61859.85,133.29,conventional,Buffalo/Rochester
1.64,91.85,137.49,0.0,organic,Buffalo/Rochester
1.02,2780859.66,2108450.36,121614.31,conventional,California
1.24,123138.29,58616.16,0.0,organic,California
1.25,26462.87,40475.81,38677.39,conventional,Charlotte
2.15,346.76,744.32,766.41,organic,Charlotte
1.14,24917.77,533717.99,140239.95,conventional,Chicago
1.81,1154.81,10830.61,0.0,organic,Chicago
0.93,3333.29,128858.15,1086.61,conventional,Cincinnati/Dayton
1.37,282.08,9374.23,0.0,organic,Cincinnati/Dayton
1.02,55532.76,26458.99,7040.95,conventional,Columbus
1.84,279.22,2959.75,0.0,organic,Columbus
0.76,627090.61,374230.89,15550.56,conventional,Dallas/Ft. Worth
1.28,7556.77,871.27,0.0,organic,Dallas/Ft. Worth
0.99,151976.7,500683.5,4225.31,conventional,Denver
1.1,5475.13,32538.95,42.01,organic,Denver
1.1,113616.86,45446.17,37740.18,conventional,Detroit
1.9,376.08,6430.19,0.0,organic,Detroit
1.07,970.13,78433.37,6411.99,conventional,Grand Rapids
1.88,20.71,488.77,0.0,organic,Grand Rapids
1.24,30928.18,85410.46,535.87,conventional,Harrisburg/Scranton
1.94,50.54,127.76,8.74,organic,Harrisburg/Scranton
1.39,3347.41,160683.8,286.52,conventional,Hartford/Springfield
2.35,39.56,2233.79,12.07,organic,Hartford/Springfield
0.77,458532.19,429687.47,9353.74,conventional,Houston
1.2,8538.96,690.68,0.0,organic,Houston
1.14,2910.77,103890.9,2048.78,conventional,Indianapolis
1.96,45.28,925.94,0.0,organic,Indianapolis
1.27,57479.2,16442.71,513.69,conventional,Jacksonville
1.82,846.65,55.27,1.18,organic,Jacksonville
1.06,100191.96,94930.69,4887.89,conventional,Las Vegas
1.63,3449.94,1769.04,0.0,organic,Las Vegas
0.89,1925013.31,526106.8,59364.23,conventional,Los Angeles
1.29,33738.87,1368.91,0.0,organic,Los Angeles
1.06,2250.1,63826.82,426.73,conventional,Louisville
1.79,5.19,676.38,0.0,organic,Louisville
1.3,285204.29,42798.99,42.64,conventional,Miami/Ft. Lauderdale
1.87,1054.78,17.92,0.0,organic,Miami/Ft. Lauderdale
1.08,97216.47,8423.57,12187.72,conventional,Nashville
1.81,188.44,1951.63,86.02,organic,Nashville
1.03,179991.12,23263.42,213.64,conventional,New Orleans/Mobile
0.98,256.53,2.64,0.0,organic,New Orleans/Mobile
1.37,18945.56,749309.2,3039.37,conventional,New York
2.08,692.88,7146.78,37.93,organic,New York
1.33,112722.12,34703.28,83.8,conventional,Orlando
1.79,1237.16,31.27,0.0,organic,Orlando
1.4,15116.27,209523.15,1469.44,conventional,Philadelphia
1.93,258.85,731.44,19.58,organic,Philadelphia
0.67,811662.62,200514.36,5643.07,conventional,Phoenix/Tucson
1.36,10248.57,1529.97,0.0,organic,Phoenix/Tucson
1.47,2147.08,36730.4,1075.26,conventional,Pittsburgh
1.55,312.68,709.27,0.0,organic,Pittsburgh
1.11,155745.95,220991.54,14692.73,conventional,Portland
1.24,11894.56,30078.32,4.7,organic,Portland
1.22,48613.54,55881.05,39543.93,conventional,Raleigh/Greensboro
1.97,78.13,1775.25,628.28,organic,Raleigh/Greensboro
1.18,54459.4,66963.59,9958.28,conventional,Richmond/Norfolk
1.62,120.23,2152.16,363.06,organic,Richmond/Norfolk
1.18,44676.56,37854.42,117.98,conventional,Roanoke
1.48,109.68,4464.75,0.0,organic,Roanoke
1.22,83097.77,238956.51,5672.46,conventional,Sacramento
1.13,15363.18,20986.36,0.0,organic,Sacramento
1.01,250311.74,163944.2,14125.01,conventional,San Diego
1.29,12300.47,580.15,0.0,organic,San Diego
1.22,107566.95,554501.21,12868.74,conventional,San Francisco
1.27,26336.41,14789.4,0.0,organic,San Francisco
1.2,160898.14,223145.82,11177.67,conventional,Seattle
1.45,6222.73,30224.67,7.34,organic,Seattle
1.15,160256.58,44019.64,14954.1,conventional,South Carolina
1.93,686.69,656.63,310.28,organic,South Carolina
1.18,28457.99,29719.57,2933.27,conventional,Spokane
1.44,582.64,3132.56,0.0,organic,Spokane
1.28,78724.96,50701.59,145.35,conventional,St. Louis
1.92,2410.28,213.12,0.0,organic,St. Louis
1.4,789.84,24755.46,27.89,conventional,Syracuse
1.84,0.0,151.46,0.0,organic,Syracuse
1.27,132142.6,33674.07,37.38,conventional,Tampa
1.73,810.58,23.95,0.0,organic,Tampa
0.8,516446.41,128438.87,12473.14,conventional,West Tex/New Mexico
1.71,1793.64,2078.72,0.0,organic,West Tex/New Mexico
1.06,941.38,33196.16,164.14,conventional,Albany
1.89,14.87,148.72,0.0,organic,Albany
1.1,393408.17,18718.27,594.25,conventional,Atlanta
1.87,1578.59,735.23,0.0,organic,Atlanta
1.2,49696.14,386398.73,39488.95,conventional,Baltimore/Washington
1.41,8097.26,5023.48,528.36,organic,Baltimore/Washington
1.03,51922.06,7555.95,2061.16,conventional,Boise
1.82,1.26,858.4,0.0,organic,Boise
1.17,4730.77,288094.65,45.98,conventional,Boston
2.01,3.14,760.39,0.0,organic,Boston
1.5,1321.19,54007.48,74.53,conventional,Buffalo/Rochester
1.6,16.46,90.53,0.0,organic,Buffalo/Rochester
1.06,2380955.61,1827783.28,150535.5,conventional,California
1.3,80952.24,28216.13,0.0,organic,California
1.18,37383.37,44000.75,31576.2,conventional,Charlotte
2.29,347.67,956.65,920.11,organic,Charlotte
1.22,26117.56,488218.44,145882.24,conventional,Chicago
1.83,711.63,9515.44,0.0,organic,Chicago
0.93,3617.45,162644.69,656.23,conventional,Cincinnati/Dayton
1.26,220.4,8150.22,0.0,organic,Cincinnati/Dayton
1.08,53201.66,32775.08,7822.59,conventional,Columbus
1.67,350.39,3650.73,0.0,organic,Columbus
0.8,649344.32,271152.06,9610.83,conventional,Dallas/Ft. Worth
1.34,7244.18,1390.2,0.0,organic,Dallas/Ft. Worth
1.02,140914.23,422434.82,4944.79,conventional,Denver
1.33,4271.13,8412.17,584.78,organic,Denver
1.19,110113.35,47558.4,45889.29,conventional,Detroit
1.62,580.39,7210.53,0.0,organic,Detroit
1.19,1112.09,78092.72,6374.01,conventional,Grand Rapids
2.01,59.16,572.36,0.0,organic,Grand Rapids
1.17,33193.27,89075.29,426.35,conventional,Harrisburg/Scranton
1.8,97.75,171.42,0.0,organic,Harrisburg/Scranton
1.35,4305.86,150044.76,231.99,conventional,Hartford/Springfield
2.21,73.54,1602.72,9.36,organic,Hartford/Springfield
0.77,549415.32,309974.97,4231.47,conventional,Houston
1.24,9698.27,893.97,0.0,organic,Houston
1.06,3642.56,108152.4,724.5,conventional,Indianapolis
1.78,49.75,765.47,0.0,organic,Indianapolis
1.2,66985.59,14505.13,523.89,conventional,Jacksonville
1.88,853.38,22.43,1.18,organic,Jacksonville
1.06,114584.67,98937.17,3874.78,conventional,Las Vegas
1.66,2421.36,3050.67,0.0,organic,Las Vegas
0.96,1518406.36,456562.55,60922.43,conventional,Los Angeles
1.23,28037.64,1355.8,0.0,organic,Los Angeles
1.02,2283.0,63038.53,234.29,conventional,Louisville
1.68,3.57,740.48,0.0,organic,Louisville
1.27,289948.64,41120.06,65.81,conventional,Miami/Ft. Lauderdale
1.84,1091.95,26.89,0.0,organic,Miami/Ft. Lauderdale
1.07,95428.54,8371.74,11082.07,conventional,Nashville
1.71,192.26,2511.65,60.36,organic,Nashville
0.94,188798.96,12771.98,352.52,conventional,New Orleans/Mobile
1.47,204.19,10.61,0.0,organic,New Orleans/Mobile
1.36,18101.89,768131.81,3184.12,conventional,New York
2.02,1363.4,10912.03,46.42,organic,New York
1.28,133616.3,29418.39,91.59,conventional,Orlando
1.82,1174.98,53.81,0.0,organic,Orlando
1.36,16112.5,211453.65,1409.19,conventional,Philadelphia
1.82,235.21,1358.88,22.7,organic,Philadelphia
0.61,1002267.22,150640.9,5034.13,conventional,Phoenix/Tucson
1.54,7988.43,1728.24,0.0,organic,Phoenix/Tucson
1.32,1847.59,70060.41,2397.99,conventional,Pittsburgh
1.7,598.03,91.36,0.0,organic,Pittsburgh
1.09,131530.29,229573.27,13384.3,conventional,Portland
1.35,15946.79,10638.92,3.13,organic,Portland
1.16,61158.75,59374.75,36067.46,conventional,Raleigh/Greensboro
2.02,60.84,1948.96,627.92,organic,Raleigh/Greensboro
1.17,54046.97,75205.48,8644.27,conventional,Richmond/Norfolk
1.57,184.69,1998.19,325.29,organic,Richmond/Norfolk
1.15,48244.28,41412.29,103.6,conventional,Roanoke
1.47,117.84,4133.72,0.0,organic,Roanoke
1.19,101289.29,210411.75,9507.42,conventional,Sacramento
1.44,4291.23,4741.77,0.0,organic,Sacramento
1.02,217747.34,140456.68,13326.97,conventional,San Diego
1.26,9245.07,470.05,0.0,organic,San Diego
1.21,127276.45,481792.41,21293.67,conventional,San Francisco
1.34,17038.27,9879.87,0.0,organic,San Francisco
1.26,118569.87,228985.5,11119.33,conventional,Seattle
1.7,6876.29,17363.12,7.33,organic,Seattle
1.06,187805.04,46947.97,12431.59,conventional,South Carolina
2.01,776.54,621.95,450.46,organic,South Carolina
1.21,23843.63,29590.6,2672.12,conventional,Spokane
1.66,611.87,2325.24,3.65,organic,Spokane
1.17,99020.78,31381.54,42.62,conventional,St. Louis
1.93,1526.97,2031.56,0.0,organic,St. Louis
1.37,810.15,22526.2,36.39,conventional,Syracuse
1.77,1.24,130.95,0.0,organic,Syracuse
1.21,161291.0,30244.52,40.52,conventional,Tampa
1.75,715.42,17.95,0.0,organic,Tampa
0.8,519142.82,124248.86,10573.29,conventional,West Tex/New Mexico
1.63,1934.46,3032.72,0.0,organic,West Tex/New Mexico
0.99,1353.9,60017.2,179.32,conventional,Albany
1.83,33.12,99.36,0.0,organic,Albany
0.96,553198.56,31583.38,294.94,conventional,Atlanta
1.44,1565.49,4210.72,0.0,organic,Atlanta
1.06,93166.54,666010.38,83652.48,conventional,Baltimore/Washington
1.15,14635.12,8013.19,667.82,organic,Baltimore/Washington
0.91,67496.3,36532.33,2904.77,conventional,Boise
1.43,0.0,999.31,0.0,organic,Boise
1.22,6082.88,373452.06,272.81,conventional,Boston
1.78,12.18,1308.94,0.0,organic,Boston
1.33,2117.73,64770.55,112.49,conventional,Buffalo/Rochester
1.55,18.78,102.35,0.0,organic,Buffalo/Rochester
0.85,4794142.14,3460743.8,177145.49,conventional,California
1.11,142332.45,41999.51,2.92,organic,California
0.98,52915.5,71209.89,80813.88,conventional,Charlotte
1.93,210.49,1244.18,1457.98,organic,Charlotte
0.91,50783.91,824745.44,164884.41,conventional,Chicago
1.52,1363.35,11835.47,0.0,organic,Chicago
0.86,4665.89,224967.68,19442.29,conventional,Cincinnati/Dayton
1.19,218.51,9140.29,0.0,organic,Cincinnati/Dayton
0.87,111171.46,59739.98,21795.64,conventional,Columbus
1.63,432.24,2985.02,0.0,organic,Columbus
0.68,786166.9,495262.11,18855.32,conventional,Dallas/Ft. Worth
1.24,6669.52,1653.73,0.0,organic,Dallas/Ft. Worth
0.93,217715.85,608156.34,5736.45,conventional,Denver
1.29,4823.79,10709.5,104.48,organic,Denver
0.92,205775.28,136119.82,127173.89,conventional,Detroit
1.55,449.84,6955.71,0.0,organic,Detroit
0.94,1621.68,240215.65,19211.54,conventional,Grand Rapids
1.98,52.14,620.24,0.0,organic,Grand Rapids
1.06,42732.12,168621.69,851.33,conventional,Harrisburg/Scranton
1.65,39.55,151.13,0.0,organic,Harrisburg/Scranton
1.32,4803.72,216923.02,364.83,conventional,Hartford/Springfield
1.54,88.08,5406.05,2.67,organic,Hartford/Springfield
0.72,540024.17,597855.73,8063.4,conventional,Houston
1.15,9833.51,1505.58,0.0,organic,Houston
0.92,7245.61,181784.28,14761.53,conventional,Indianapolis
1.69,45.17,805.09,0.0,organic,Indianapolis
0.92,171139.21,22525.96,1299.6,conventional,Jacksonville
1.76,805.42,60.41,5.92,organic,Jacksonville
0.94,144461.66,185057.29,4255.15,conventional,Las Vegas
1.6,4366.54,2884.3,0.0,organic,Las Vegas
0.74,2770656.27,854673.24,64439.7,conventional,Los Angeles
1.12,39628.65,1721.95,0.0,organic,Los Angeles
0.9,5378.31,83854.56,5155.25,conventional,Louisville
1.55,0.0,772.41,0.0,organic,Louisville
0.95,566917.32,74532.61,82.04,conventional,Miami/Ft. Lauderdale
1.73,827.35,16.62,0.0,organic,Miami/Ft. Lauderdale
0.94,160834.57,13445.84,17578.18,conventional,Nashville
1.65,213.64,2682.26,99.55,organic,Nashville
0.81,271075.59,11860.86,426.32,conventional,New Orleans/Mobile
1.48,162.22,34.57,0.0,organic,New Orleans/Mobile
1.36,22622.87,1084529.78,3251.93,conventional,New York
1.93,1867.35,12683.96,7.36,organic,New York
0.95,358731.15,50048.43,180.21,conventional,Orlando
1.76,1262.74,53.81,0.0,organic,Orlando
1.14,30263.22,417993.89,1722.1,conventional,Philadelphia
1.69,285.43,1416.23,4.72,organic,Philadelphia
0.56,1194635.06,261342.47,6335.66,conventional,Phoenix/Tucson
1.18,10810.58,2016.62,0.0,organic,Phoenix/Tucson
1.25,2685.5,75345.64,2164.35,conventional,Pittsburgh
1.77,760.33,74.32,0.0,organic,Pittsburgh
0.98,165259.75,535324.57,15903.81,conventional,Portland
1.2,20129.0,12970.57,4.68,organic,Portland
0.99,79507.9,115316.24,88450.29,conventional,Raleigh/Greensboro
1.79,27.19,2044.97,968.1,organic,Raleigh/Greensboro
0.97,99429.98,140203.43,21686.02,conventional,Richmond/Norfolk
1.58,83.48,2059.65,440.08,organic,Richmond/Norfolk
1.0,71867.81,65784.29,93.81,conventional,Roanoke
1.5,150.16,3819.72,0.0,organic,Roanoke
1.04,287292.15,429601.75,15342.47,conventional,Sacramento
1.22,7103.9,5624.41,0.0,organic,Sacramento
0.85,357235.87,277723.14,15691.23,conventional,San Diego
1.11,16215.48,1142.06,2.89,organic,San Diego
0.91,369580.89,896514.3,20587.92,conventional,San Francisco
1.06,38413.44,19160.87,0.0,organic,San Francisco
0.97,201139.95,578708.75,10182.71,conventional,Seattle
1.44,12927.15,21460.13,35.42,organic,Seattle
0.91,284674.2,78055.21,27248.16,conventional,South Carolina
1.66,456.99,1272.79,503.05,organic,South Carolina
0.97,35897.25,84741.31,2704.69,conventional,Spokane
1.38,2284.35,3738.62,0.0,organic,Spokane
1.1,209893.28,48651.4,59.1,conventional,St. Louis
1.93,912.08,1425.94,0.0,organic,St. Louis
1.26,1321.47,30243.88,14.24,conventional,Syracuse
1.65,3.72,111.53,0.0,organic,Syracuse
0.92,392037.18,53180.28,79.96,conventional,Tampa
1.68,762.21,20.31,0.0,organic,Tampa
0.71,611270.39,205181.23,14107.36,conventional,West Tex/New Mexico
1.77,1634.42,3012.44,0.0,organic,West Tex/New Mexico
0.99,1357.37,39111.81,163.25,conventional,Albany
1.59,27.36,152.74,0.0,organic,Albany
1.03,377256.38,17162.5,524.85,conventional,Atlanta
1.29,1716.38,8656.15,0.0,organic,Atlanta
1.09,71703.52,554857.41,37437.32,conventional,Baltimore/Washington
1.43,6050.1,4361.21,745.2,organic,Baltimore/Washington
1.07,54229.34,9647.24,3047.0,conventional,Boise
1.35,13.74,2832.21,0.0,organic,Boise
1.04,7653.19,495731.7,383.73,conventional,Boston
1.91,15.18,948.71,0.0,organic,Boston
1.36,1822.41,66261.92,161.96,conventional,Buffalo/Rochester
1.54,24.6,115.96,0.0,organic,Buffalo/Rochester
0.91,2908845.38,2200393.89,149458.93,conventional,California
1.35,94440.9,24587.9,0.0,organic,California
1.17,31509.41,35566.91,31778.73,conventional,Charlotte
1.87,188.23,1382.91,1092.82,organic,Charlotte
1.13,28216.83,499138.28,119634.41,conventional,Chicago
1.78,1224.22,6971.06,0.0,organic,Chicago
0.93,4246.12,140926.77,4185.64,conventional,Cincinnati/Dayton
1.24,225.93,8949.13,0.0,organic,Cincinnati/Dayton
0.96,76792.99,23238.8,7652.85,conventional,Columbus
1.78,285.2,2071.17,0.0,organic,Columbus
0.67,737968.75,376914.26,12106.6,conventional,Dallas/Ft. Worth
1.35,6135.93,826.06,0.0,organic,Dallas/Ft. Worth
0.95,153584.14,466313.49,5420.92,conventional,Denver
1.4,3017.93,7175.41,9.63,organic,Denver
1.11,129910.26,35996.84,40515.81,conventional,Detroit
1.86,509.02,4643.12,0.0,organic,Detroit
1.24,1155.67,74113.5,4855.23,conventional,Grand Rapids
1.79,84.83,402.27,0.0,organic,Grand Rapids
1.02,35933.38,126557.74,722.59,conventional,Harrisburg/Scranton
1.67,35.2,136.56,0.0,organic,Harrisburg/Scranton
1.09,6791.17,289098.22,215.13,conventional,Hartford/Springfield
2.37,49.13,4531.32,15.93,organic,Hartford/Springfield
0.7,525259.71,535768.93,5175.33,conventional,Houston
1.25,7272.68,704.91,0.0,organic,Houston
0.98,7650.86,109166.71,8455.43,conventional,Indianapolis
1.68,41.71,778.93,0.0,organic,Indianapolis
1.21,62181.18,9886.68,375.65,conventional,Jacksonville
1.71,892.03,63.04,14.27,organic,Jacksonville
1.01,108258.88,162192.25,4610.86,conventional,Las Vegas
