MOCK_DATA (1)
date ,average_price,total_volume,PLU 4046,PLU 4225,total_bags,small_bags,large_bags,xlarge_bags,type,year
11/30/2019,$6.23,10.33,46.17,83.71,7.85,2,26,14,M,2003
4/29/2019,$5.88,71.83,67.91,26.74,41.85,18,89,63,M,1998
7/13/2016,$9.34,40.01,17.59,75.37,99.04,59,46,3,M,2005
1/31/2016,$8.32,24.27,56.09,22.5,70.05,78,44,26,F,1995
10/6/2019,$4.80,41.38,90.52,80.28,53.09,21,9,2,F,2005
11/29/2019,$3.84,26.86,74.25,12.73,91.4,96,11,40,F,1988
9/26/2016,$1.72,12.26,7.13,74.7,53.49,7,22,18,M,1997
2/8/2015,$0.55,84.96,55.2,30.19,5.16,37,46,36,M,2003
7/9/2016,$7.17,19.66,90.3,6.23,66.71,17,48,14,M,2006
8/28/2016,$7.07,8.42,87.07,47.3,75.73,50,14,59,M,2008
10/17/2016,$6.87,4.43,95.06,91.56,15.87,32,41,12,F,2003
2/15/2017,$2.85,97.67,87.86,27.91,48.11,17,94,53,M,2005
11/17/2015,$4.44,14.73,49.63,1.95,74.29,28,82,64,M,2006
9/4/2018,$9.24,10.63,96.35,66.05,16.02,74,93,85,F,2001
7/4/2018,$2.41,29.11,29.54,15.79,12.96,57,94,57,F,1989
4/22/2019,$8.21,9.09,50.83,9.13,72.27,45,35,96,M,2009
12/4/2017,$3.72,47.32,52.58,8.25,29.14,26,20,83,F,1999
8/4/2017,$5.85,27.79,82.69,39.4,65.05,21,62,6,M,2012
1/13/2016,$9.58,12.24,89.7,95.16,18.97,73,76,57,M,1971
11/11/2017,$8.32,37.92,97.08,12.14,23.85,23,93,7,M,2000
1/22/2018,$6.64,20.27,98.38,80.15,71.0,76,50,21,F,2010
5/22/2018,$5.66,85.9,6.89,57.39,85.89,98,93,28,F,2007
5/30/2018,$8.49,58.12,48.03,90.23,38.97,83,46,5,F,1998
5/9/2015,$4.95,23.57,92.21,70.24,51.59,98,32,93,F,2001
1/29/2017,$7.63,13.53,89.37,70.92,26.27,63,9,81,M,2007
4/20/2020,$6.71,83.21,10.74,13.43,29.86,93,41,72,F,2011
11/16/2016,$8.02,12.95,42.02,4.87,35.02,72,3,20,M,1992
3/6/2016,$0.42,15.72,74.4,21.47,15.49,87,54,82,M,1998
1/20/2015,$5.30,38.14,74.05,40.97,32.83,12,18,13,F,1994
3/27/2017,$2.19,46.25,15.41,35.02,55.93,1,70,7,F,2012
10/12/2015,$6.74,14.31,27.79,85.32,62.73,80,86,77,F,2000
7/22/2019,$0.25,28.39,44.83,45.75,5.64,70,71,47,M,1994
1/9/2016,$4.46,22.93,52.84,97.18,68.51,19,95,57,F,1990
10/30/2015,$5.83,63.25,85.89,88.06,92.78,54,3,11,F,2009
2/17/2018,$1.63,69.4,44.9,58.13,82.3,15,62,16,M,2004
3/7/2020,$6.52,22.68,30.15,63.94,82.28,64,16,87,M,2012
7/12/2019,$7.06,73.93,28.71,21.54,38.25,16,62,30,M,1988
5/28/2016,$3.88,59.94,7.56,1.25,99.87,48,71,77,F,2009
2/23/2020,$6.20,9.85,29.43,59.07,56.54,40,26,19,F,2012
9/17/2017,$8.99,94.75,29.81,81.38,92.94,70,58,68,M,1992
11/11/2019,$5.82,64.64,33.28,69.18,1.99,73,77,34,F,1997
7/24/2015,$7.26,20.73,88.19,54.09,15.62,7,99,86,F,2013
3/23/2018,$0.00,95.85,96.03,90.44,62.28,9,71,4,M,2012
11/20/2015,$0.88,92.35,8.1,30.63,33.53,53,8,14,F,2004
5/4/2016,$6.46,21.35,45.76,60.26,85.34,82,8,97,F,1978
10/8/2016,$5.25,52.42,31.18,60.7,84.63,73,90,64,F,2009
6/30/2018,$6.15,89.29,3.09,95.06,52.19,92,16,85,M,2011
3/5/2015,$4.60,10.54,52.79,97.38,33.61,72,73,46,F,1992
1/29/2020,$7.75,21.12,16.44,3.3,26.0,87,13,27,F,2005
3/25/2018,$2.32,55.65,11.89,92.63,61.56,36,35,68,M,2001
2/18/2019,$4.19,85.89,81.09,90.48,42.89,40,93,49,F,1988
12/4/2016,$3.79,88.25,34.25,52.35,59.8,8,94,77,M,2006
3/25/2020,$2.32,91.1,21.16,81.79,69.86,16,1,87,M,1998
9/21/2017,$0.87,30.78,53.62,52.28,5.51,5,95,14,M,2010
11/28/2019,$0.34,74.21,87.11,53.99,63.62,73,43,63,F,1983
2/8/2019,$2.71,99.41,9.49,86.67,54.24,57,68,97,F,2009
11/17/2017,$1.23,54.19,90.21,36.36,71.57,55,70,19,F,2004
8/17/2016,$5.88,2.08,77.09,76.29,86.4,84,18,80,F,2009
5/27/2015,$1.62,14.68,50.25,48.24,66.36,12,45,66,F,1996
10/21/2016,$7.66,50.21,51.92,83.4,81.78,1,51,14,F,1992
2/10/2017,$6.82,39.88,40.11,14.76,97.22,79,79,57,F,2007
11/4/2018,$9.35,31.51,44.9,41.86,38.16,50,57,69,M,1986
8/24/2016,$3.93,84.57,17.11,23.64,11.06,2,9,70,F,2012
12/6/2016,$6.92,98.83,74.39,44.89,91.22,23,90,87,M,2003
10/17/2016,$6.85,31.97,14.69,29.3,19.5,74,71,21,F,2012
10/25/2018,$6.30,85.11,26.16,34.89,57.63,100,33,32,F,2006
1/16/2019,$9.37,62.61,41.07,4.94,57.99,19,18,92,F,2004
10/12/2018,$9.32,48.71,98.09,33.96,27.17,53,16,20,M,2012
10/17/2019,$8.33,30.07,34.33,10.65,88.97,72,8,77,M,2003
12/23/2019,$5.88,43.93,94.92,68.83,83.25,96,44,28,M,2012
11/14/2019,$1.72,33.17,71.93,59.41,65.06,2,45,63,F,2003
9/12/2018,$1.28,59.88,93.53,73.34,23.38,30,36,3,M,1984
5/21/2019,$5.51,12.94,48.22,48.45,28.89,10,92,27,F,2011
1/30/2020,$3.95,92.86,66.54,65.06,13.42,64,83,35,M,2006
1/13/2016,$2.29,43.54,47.83,56.4,71.32,55,54,27,F,1993
7/17/2016,$10.00,90.59,98.52,51.9,61.62,58,13,91,M,2005
3/2/2017,$3.97,6.94,98.96,20.8,13.98,64,59,26,F,1994
5/28/2015,$6.15,77.76,48.87,67.99,16.14,5,20,32,F,2006
5/17/2016,$9.33,22.16,84.96,61.95,39.0,91,1,47,M,2000
7/17/2015,$3.89,89.08,98.0,28.87,66.79,89,4,72,M,2011
12/22/2018,$9.73,77.61,98.99,88.91,76.05,31,75,35,M,2001
2/8/2015,$0.83,31.38,31.68,53.14,99.74,40,28,34,M,2006
2/5/2017,$9.60,5.94,98.05,53.25,43.26,14,51,49,F,1990
3/20/2015,$0.23,83.65,3.61,30.22,73.94,94,65,12,F,2005
10/20/2019,$2.03,91.9,2.29,47.72,70.12,71,26,96,F,2001
1/18/2020,$9.44,1.91,83.0,89.29,34.65,50,88,98,F,2008
9/6/2019,$8.86,70.86,54.63,48.13,64.24,70,38,97,M,2007
5/9/2018,$6.20,97.32,1.55,82.92,72.49,65,54,99,M,1964
9/12/2019,$6.05,48.05,84.81,10.42,56.76,1,81,21,M,1997
9/8/2016,$7.02,70.32,82.22,5.35,66.35,68,44,54,M,2000
1/11/2015,$0.96,35.86,50.09,7.8,90.95,87,5,47,F,1996
9/3/2017,$7.38,21.68,23.61,65.33,5.41,25,68,63,F,1995
3/3/2015,$9.31,41.85,19.01,19.41,32.91,8,22,77,M,1988
2/24/2017,$0.40,82.76,60.87,38.88,21.56,68,93,19,M,2007
1/4/2018,$3.46,90.09,22.58,67.97,54.78,38,52,98,F,1992
8/20/2018,$3.59,52.1,94.34,46.42,45.79,5,72,5,F,2006
8/31/2015,$6.39,35.78,85.13,87.41,5.08,91,62,39,F,2007
10/1/2018,$1.24,98.99,7.81,15.01,73.99,62,49,16,F,1996
9/26/2017,$6.28,65.55,17.64,96.15,69.67,65,3,51,M,1996
7/16/2016,$8.89,19.94,47.01,73.87,75.8,23,64,48,M,2010
8/30/2019,$4.65,10.4,93.42,74.32,83.3,64,93,78,F,1965
11/22/2016,$0.24,7.4,18.54,86.7,1.32,85,43,45,F,1998
8/27/2019,$9.57,79.16,42.24,5.22,71.03,18,73,53,M,1990
9/23/2018,$4.38,16.92,49.09,66.7,99.11,39,6,50,M,1987
1/3/2020,$9.39,26.46,87.51,35.21,5.28,90,74,34,M,2007
3/2/2016,$5.64,15.84,28.17,13.12,65.81,7,89,85,M,1998
10/12/2018,$1.35,28.18,96.17,79.67,8.53,91,83,65,M,2006
2/3/2017,$8.31,65.08,31.5,32.63,2.96,99,95,80,M,2002
4/19/2018,$2.12,26.77,85.41,53.1,80.8,39,44,98,M,1995
4/8/2017,$2.96,93.95,12.69,46.05,80.4,94,7,68,M,2011
12/28/2018,$4.33,74.8,66.87,95.4,25.35,8,94,9,M,2003
12/29/2016,$8.74,99.76,15.58,94.28,37.63,34,84,45,F,2012
5/14/2020,$9.25,91.05,73.69,14.5,77.41,28,49,89,M,1994
7/15/2018,$6.22,81.6,94.2,6.8,29.38,58,6,98,F,1999
10/9/2015,$0.71,78.36,3.9,20.39,86.46,98,92,25,F,2005
4/7/2019,$2.22,16.87,60.82,47.85,88.14,95,8,8,M,2006
3/9/2017,$5.47,51.2,78.77,94.4,95.78,66,60,91,M,2002
10/17/2019,$8.36,29.87,47.96,34.59,59.24,3,59,4,M,2010
4/23/2018,$1.34,20.35,17.36,6.56,74.74,14,72,91,M,2007
3/16/2015,$5.25,59.2,87.16,25.08,49.01,52,39,52,M,1999
5/26/2019,$4.87,85.01,99.92,40.74,9.24,58,67,55,F,2005
1/21/2018,$3.98,22.37,64.37,65.14,40.44,61,64,24,F,2011
5/19/2016,$1.33,99.2,61.69,67.22,74.5,27,87,99,M,1989
2/27/2020,$5.21,11.15,46.87,25.3,89.93,25,76,97,M,1999
4/13/2018,$3.60,61.83,10.19,93.2,82.76,33,58,56,F,2010
8/20/2017,$6.33,42.99,35.56,84.38,46.8,64,53,65,F,2007
5/10/2018,$5.43,26.79,12.95,61.73,10.55,24,49,37,M,2008
3/16/2019,$9.33,72.91,86.81,9.74,79.04,91,28,3,F,1996
1/31/2019,$2.76,58.86,12.67,23.07,62.72,96,89,48,M,2003
3/12/2020,$7.99,45.03,30.31,79.08,45.21,84,35,16,F,2003
12/15/2018,$1.76,69.91,77.75,20.57,94.56,90,56,13,M,1999
10/15/2019,$2.96,32.31,87.29,85.4,64.39,42,29,52,M,2007
12/5/2018,$9.03,34.92,83.91,8.19,3.51,93,51,42,M,1995
10/30/2016,$3.53,67.62,56.35,50.01,17.88,51,10,25,F,1994
5/1/2018,$5.08,49.34,67.34,49.76,5.21,73,53,45,F,1993
4/9/2015,$4.02,67.77,7.07,53.34,87.33,2,41,19,F,2009
9/28/2018,$4.04,13.05,66.67,98.16,31.76,15,47,53,M,1998
8/6/2015,$3.23,89.01,68.9,78.14,43.8,19,11,72,M,1994
5/23/2015,$2.30,74.21,24.83,35.29,97.04,72,57,49,M,2000
12/16/2018,$4.11,79.24,72.19,14.21,42.96,27,7,80,M,2006
8/3/2017,$9.03,13.51,72.32,40.17,25.87,42,85,75,M,2010
2/25/2017,$8.50,97.7,15.84,48.3,47.95,59,26,92,F,2003
4/6/2019,$2.13,37.6,20.37,7.29,62.46,18,14,20,M,2005
7/7/2015,$9.61,68.81,78.09,25.47,20.95,93,69,62,F,1957
5/5/2017,$8.72,41.47,10.3,16.7,33.66,70,44,39,F,2013
3/18/2016,$9.78,35.32,91.2,11.25,35.01,20,21,33,M,2003
5/4/2017,$8.97,28.68,99.42,66.14,99.36,72,10,49,M,1994
4/2/2018,$1.62,26.75,7.58,94.8,23.18,13,39,87,F,2010
7/10/2017,$7.42,49.53,52.37,72.34,92.24,65,45,91,M,2003
2/8/2020,$1.21,92.62,57.82,61.25,62.21,93,49,10,F,1992
4/14/2019,$2.24,7.96,28.76,43.89,97.7,25,100,94,F,1990
11/29/2018,$8.12,56.33,47.96,54.06,7.74,41,20,57,M,2012
5/27/2016,$5.73,43.92,53.4,21.81,97.6,24,3,64,M,2005
12/12/2015,$4.68,59.28,92.89,99.11,10.72,34,30,94,F,1995
11/21/2016,$1.39,22.92,90.73,97.06,16.92,5,58,99,M,1996
5/10/2017,$7.03,18.15,79.91,27.35,55.79,44,92,45,F,1993
9/14/2019,$6.34,73.24,52.46,79.19,4.04,34,58,20,M,2011
7/3/2016,$6.70,14.82,48.13,14.14,38.74,44,37,44,M,1997
6/25/2017,$9.35,56.8,2.32,44.81,83.18,72,29,63,F,2008
12/28/2019,$6.27,17.22,22.33,83.9,40.89,7,62,51,F,2007
6/13/2018,$5.82,31.9,28.45,71.8,67.75,67,2,2,F,2009
9/8/2019,$2.42,29.12,63.38,84.01,74.12,12,59,93,M,2002
5/12/2020,$0.98,42.37,86.94,39.16,27.49,81,30,54,F,1990
11/13/2018,$1.62,20.05,13.86,25.56,86.29,45,10,77,M,2010
1/24/2018,$7.77,49.44,42.14,20.42,68.02,84,60,61,F,2007
2/21/2017,$5.14,60.57,60.94,35.33,90.4,32,92,90,F,1996
7/13/2015,$0.49,61.66,57.63,3.21,62.31,99,72,88,F,1992
10/12/2015,$6.43,1.05,99.27,77.64,19.48,35,21,19,M,2011
5/20/2016,$7.82,40.94,60.15,39.86,66.85,1,9,44,F,1987
5/30/2019,$1.01,16.33,78.07,2.35,99.1,92,31,53,M,1997
10/27/2019,$2.06,57.49,57.94,75.58,44.84,39,100,56,M,1995
1/28/2017,$4.45,45.3,24.93,15.71,87.13,47,24,94,M,2006
11/24/2017,$9.45,10.42,45.42,80.85,4.86,1,24,2,M,1996
9/8/2016,$1.79,86.43,24.67,61.73,68.26,86,47,47,M,1998
8/14/2016,$8.47,54.33,22.54,87.99,50.69,51,85,83,F,2011
9/29/2016,$9.76,16.43,60.22,93.46,24.31,31,53,26,F,2012
9/3/2015,$9.85,58.4,15.32,54.03,51.22,3,77,90,M,2008
10/10/2019,$4.05,70.74,57.86,45.56,32.25,71,81,64,F,2013
10/13/2015,$1.22,45.54,31.82,50.46,75.0,12,32,76,F,1992
7/14/2017,$6.97,18.67,43.15,47.01,39.41,14,17,33,F,2009
3/24/2016,$8.04,15.74,80.71,7.62,83.18,79,98,41,M,1998
8/18/2019,$5.51,92.9,3.75,50.42,61.79,100,11,19,M,1987
11/11/2017,$1.93,53.91,79.22,80.86,42.58,64,36,19,M,1985
5/22/2015,$1.61,58.16,23.12,7.08,66.53,92,4,100,F,1986
10/3/2018,$9.06,95.39,91.19,38.78,57.47,81,26,90,F,2006
9/23/2017,$2.77,53.47,18.33,55.67,10.27,69,48,9,M,2006
8/31/2018,$7.24,96.66,27.96,57.09,77.0,83,61,96,F,1999
7/12/2016,$1.58,89.87,21.29,14.54,8.49,67,50,29,F,1985
5/28/2015,$6.12,15.89,70.32,43.6,45.72,7,72,35,F,1994
4/1/2017,$2.53,73.87,75.5,79.84,5.44,46,2,100,M,2007
4/14/2019,$5.79,72.4,45.46,82.74,78.73,28,28,3,M,2011
4/21/2020,$7.76,77.35,87.62,94.02,20.36,59,33,81,F,2005
12/14/2015,$1.22,73.14,7.77,83.17,27.11,30,17,69,F,1999
1/6/2016,$3.60,99.36,66.72,51.09,35.61,29,59,36,M,2008
2/17/2016,$8.56,71.79,82.94,78.99,12.11,76,96,12,F,2010
9/27/2016,$7.82,40.29,70.34,8.21,72.58,43,73,32,F,2006
7/4/2019,$8.85,33.79,39.44,67.49,31.46,45,9,18,M,1996
3/25/2020,$5.59,87.49,62.6,97.21,45.43,73,71,35,M,1994
2/20/2015,$1.35,16.6,61.11,17.53,24.45,82,67,5,M,2007
3/14/2020,$3.48,16.51,82.89,67.33,57.31,32,5,27,F,2009
3/25/2020,$2.02,71.69,19.25,93.43,83.7,90,74,60,F,1985
3/10/2020,$1.19,28.3,75.5,66.65,99.57,87,51,55,M,2010
1/5/2015,$3.68,28.14,24.47,14.74,20.36,22,24,98,F,1968
10/28/2018,$0.58,59.91,8.93,60.04,3.48,20,77,96,M,2012
1/8/2020,$4.42,51.12,48.46,60.37,98.68,86,60,21,M,2003
4/25/2015,$1.05,73.33,20.22,13.04,2.71,26,91,74,M,2008
9/24/2015,$7.98,99.63,7.22,48.83,79.11,98,60,81,F,1993
12/30/2016,$6.28,13.48,35.61,90.59,55.59,88,14,5,F,2003
4/22/2019,$4.22,62.52,76.3,48.91,95.1,4,17,61,F,2006
7/9/2015,$8.54,36.43,17.54,38.32,24.49,7,84,9,M,2008
9/10/2015,$9.16,88.14,57.57,75.42,53.85,70,92,56,F,2001
6/27/2018,$8.69,8.02,52.03,48.01,34.54,67,13,96,M,2006
9/26/2015,$9.47,35.71,86.69,72.79,22.09,53,96,84,F,2009
7/26/2019,$5.68,29.39,10.58,1.31,9.11,94,87,26,F,1996
3/30/2015,$5.87,3.87,2.18,72.71,10.87,2,14,13,F,2005
3/28/2019,$4.39,31.14,35.21,21.49,67.72,92,86,28,M,1989
1/7/2016,$1.55,99.14,11.38,18.22,13.28,67,48,60,M,2009
8/26/2016,$5.20,65.53,26.51,64.71,25.92,38,51,28,M,1993
12/6/2016,$6.21,38.41,68.38,12.41,62.27,79,32,92,F,2005
4/10/2016,$2.41,30.54,96.23,56.9,69.48,42,77,71,M,2006
2/27/2019,$6.04,18.82,77.32,37.64,17.24,55,11,56,M,1989
10/12/2016,$5.26,93.55,4.46,41.8,82.21,11,68,18,F,1998
1/20/2016,$3.33,18.18,82.0,52.68,54.17,29,75,33,F,1996
5/1/2016,$6.26,40.29,19.27,58.53,76.06,99,39,21,F,2001
12/6/2015,$4.83,32.68,77.67,30.59,3.42,19,15,85,M,1991
8/16/2019,$4.41,21.09,76.22,22.47,62.34,44,75,60,M,2002
11/3/2019,$7.09,78.52,40.56,7.08,28.38,45,50,43,M,2009
5/24/2018,$6.98,60.11,14.29,2.86,84.41,55,84,51,F,1995
4/17/2015,$4.31,12.09,81.17,69.68,69.03,30,6,85,F,1998
12/10/2015,$2.21,93.02,97.87,63.64,17.22,64,12,26,F,2010
7/18/2015,$7.19,56.12,87.33,19.83,74.05,22,69,82,M,2005
7/26/2015,$1.67,61.35,26.89,53.37,95.47,60,35,91,M,1995
9/11/2015,$3.66,29.13,29.55,24.43,84.61,9,45,93,M,1995
5/20/2017,$1.67,48.85,20.21,45.33,79.68,63,25,88,F,2007
6/23/2016,$6.54,55.85,95.02,42.04,47.95,17,31,59,F,2011
9/18/2016,$9.05,9.27,56.08,68.4,96.84,38,19,40,F,1993
4/9/2015,$0.12,26.5,85.39,1.5,67.94,43,11,43,M,1971
6/6/2019,$4.13,90.14,18.71,56.08,28.85,96,13,88,M,2011
12/18/2017,$3.70,30.38,77.52,46.68,60.81,75,38,59,F,2011
5/31/2018,$4.00,7.02,81.5,25.34,11.56,95,61,66,F,1950
6/5/2018,$3.01,77.8,38.85,98.21,44.0,37,100,62,F,2010
11/1/2018,$1.44,18.63,34.0,96.53,81.34,71,96,82,F,2004
3/8/2017,$2.86,87.39,7.98,68.04,51.28,50,28,85,M,2008
9/10/2015,$9.89,53.76,88.55,79.46,9.77,95,28,25,F,2007
6/13/2017,$3.31,21.33,69.66,81.8,38.89,77,100,12,M,2007
5/4/2017,$4.10,57.51,41.36,78.03,78.59,11,87,84,M,2011
4/2/2015,$4.78,3.75,56.74,6.38,11.07,69,95,59,M,2002
9/1/2015,$6.62,68.87,83.91,95.97,16.22,22,48,95,M,1999
3/6/2018,$0.08,93.33,68.59,24.63,24.73,92,93,62,M,1996
5/25/2019,$5.58,45.83,81.84,91.98,59.72,93,79,2,M,1999
11/27/2017,$4.32,30.58,80.33,46.66,75.89,33,35,35,M,2012
6/15/2019,$4.76,78.36,13.78,26.03,21.82,98,38,80,F,2000
8/9/2017,$4.27,28.14,74.3,38.53,77.27,90,76,88,F,1989
2/4/2016,$3.34,61.02,58.59,96.69,96.4,95,25,86,F,2009
6/8/2017,$1.53,62.71,21.57,84.8,13.14,51,54,20,M,2011
1/27/2015,$9.00,53.84,57.32,4.03,71.07,50,86,14,F,2003
1/21/2017,$0.73,28.99,32.56,10.41,23.67,56,81,24,F,2007
8/6/2017,$2.15,86.58,26.98,90.2,19.56,13,97,76,M,2000
