type,average_price,on_date,year,total_volume
conventional,1.17,2015-01-11,2015,2335986.11
organic,1.52,2015-01-11,2015,65483.08
conventional,1.07,2015-01-11,2015,149832.2
organic,1.92,2015-01-11,2015,2892.29
conventional,0.97,2015-01-11,2015,239232.35
organic,1.44,2015-01-11,2015,1492.44
conventional,1.34,2015-01-11,2015,1018225.83
organic,2.03,2015-01-11,2015,14817.97
conventional,1.28,2015-01-11,2015,3056024.77
organic,1.86,2015-01-11,2015,50079.81
conventional,1.06,2015-01-11,2015,314717.03
organic,1.88,2015-01-11,2015,6485.3
conventional,1.29,2015-01-11,2015,202034.59
organic,1.92,2015-01-11,2015,1610.6
conventional,1.38,2015-01-11,2015,315984.22
organic,1.63,2015-01-11,2015,6715.18
conventional,0.61,2015-01-11,2015,1110753.05
organic,1.36,2015-01-11,2015,14035.18
conventional,1.54,2015-01-11,2015,54644.32
organic,1.82,2015-01-11,2015,1663.25
conventional,1.09,2015-01-11,2015,1402841.83
organic,1.68,2015-01-11,2015,37617.95
conventional,1.05,2015-01-11,2015,510152.67
organic,1.22,2015-01-11,2015,43116.44
conventional,1.24,2015-01-11,2015,205760.67
organic,1.98,2015-01-11,2015,3862.72
conventional,1.15,2015-01-11,2015,194460.59
organic,1.66,2015-01-11,2015,2914.35
conventional,1.16,2015-01-11,2015,113235.82
organic,1.47,2015-01-11,2015,5128.06
conventional,1.09,2015-01-11,2015,429492.28
organic,1.27,2015-01-11,2015,7598.26
conventional,0.82,2015-01-11,2015,544667.18
organic,1.05,2015-01-11,2015,20089.52
conventional,1.03,2015-01-11,2015,916450.76
organic,1.12,2015-01-11,2015,29676.78
conventional,1.06,2015-01-11,2015,527350.82
organic,1.46,2015-01-11,2015,46687.01
conventional,1.1,2015-01-11,2015,279706.73
organic,2.06,2015-01-11,2015,2304.3
conventional,0.8,2015-01-11,2015,5409726.02
organic,1.39,2015-01-11,2015,53328.53
conventional,1.18,2015-01-11,2015,2433295.61
organic,1.83,2015-01-11,2015,23690.65
conventional,1.07,2015-01-11,2015,70697.07
organic,1.38,2015-01-11,2015,4780.87
conventional,1.29,2015-01-11,2015,164917.61
organic,1.84,2015-01-11,2015,3762.18
conventional,1.45,2015-01-11,2015,42017.49
organic,1.66,2015-01-11,2015,762.15
conventional,1.24,2015-01-11,2015,235231.08
organic,1.84,2015-01-11,2015,1258.62
conventional,1.01,2015-01-11,2015,29063542.75
organic,1.42,2015-01-11,2015,669528.88
conventional,0.95,2015-01-11,2015,5333097.71
organic,1.39,2015-01-11,2015,223156.55
conventional,0.92,2015-01-11,2015,584896.99
organic,1.69,2015-01-11,2015,6861.73
conventional,1.17,2015-01-18,2015,44511.28
organic,1.93,2015-01-18,2015,1118.47
conventional,1.11,2015-01-18,2015,431490.99
organic,1.86,2015-01-18,2015,4294.01
conventional,1.23,2015-01-18,2015,657741.34
organic,1.41,2015-01-18,2015,14057.45
conventional,1.08,2015-01-18,2015,62870.49
organic,1.44,2015-01-18,2015,2973.94
conventional,1.23,2015-01-18,2015,401331.33
organic,2,2015-01-18,2015,2209.34
conventional,1.52,2015-01-18,2015,107040.29
organic,1.64,2015-01-18,2015,1426.87
conventional,1.02,2015-01-18,2015,5570915.26
organic,1.24,2015-01-18,2015,195207.6
conventional,1.25,2015-01-18,2015,152671.15
organic,2.15,2015-01-18,2015,2697.81
conventional,1.14,2015-01-18,2015,797741.43
organic,1.81,2015-01-18,2015,12499.87
conventional,0.93,2015-01-18,2015,175681.09
organic,1.37,2015-01-18,2015,10051.4
conventional,1.02,2015-01-18,2015,116450.21
organic,1.84,2015-01-18,2015,4027.45
conventional,0.76,2015-01-18,2015,1091677.29
organic,1.28,2015-01-18,2015,12634.71
conventional,0.99,2015-01-18,2015,808194.41
organic,1.1,2015-01-18,2015,42234.91
conventional,1.1,2015-01-18,2015,291788.43
organic,1.9,2015-01-18,2015,7656.72
conventional,1.07,2015-01-18,2015,150201.39
organic,1.88,2015-01-18,2015,706.15
conventional,1.08,2015-01-18,2015,3006207.02
organic,1.73,2015-01-18,2015,57646.9
conventional,1.24,2015-01-18,2015,182604.68
organic,1.94,2015-01-18,2015,1355.5
conventional,1.39,2015-01-18,2015,229216.05
organic,2.35,2015-01-18,2015,2552.09
conventional,0.77,2015-01-18,2015,1017854.16
organic,1.2,2015-01-18,2015,9979.64
conventional,1.14,2015-01-18,2015,149319.82
organic,1.96,2015-01-18,2015,1083.8
conventional,1.27,2015-01-18,2015,99496.16
organic,1.82,2015-01-18,2015,1403.1
conventional,1.06,2015-01-18,2015,233186.09
organic,1.63,2015-01-18,2015,6032.31
conventional,0.89,2015-01-18,2015,2800679.5
organic,1.29,2015-01-18,2015,43649.12
conventional,1.06,2015-01-18,2015,85580.15
organic,1.79,2015-01-18,2015,1106.86
conventional,1.3,2015-01-18,2015,405138.19
organic,1.87,2015-01-18,2015,1459.37
conventional,1.19,2015-01-18,2015,2330829.2
organic,1.65,2015-01-18,2015,52559.1
conventional,1.08,2015-01-18,2015,143464.64
organic,1.81,2015-01-18,2015,3118.58
conventional,1.03,2015-01-18,2015,267666.12
organic,0.98,2015-01-18,2015,4739.17
conventional,1.37,2015-01-18,2015,1044280.56
organic,2.08,2015-01-18,2015,9204.78
conventional,1.32,2015-01-18,2015,3066789.62
organic,1.94,2015-01-18,2015,35304.15
conventional,1.12,2015-01-18,2015,309202.71
organic,1.88,2015-01-18,2015,7618.91
conventional,1.33,2015-01-18,2015,191078.37
organic,1.79,2015-01-18,2015,2151.76
conventional,1.4,2015-01-18,2015,331495.41
organic,1.93,2015-01-18,2015,1699
conventional,0.67,2015-01-18,2015,1088608.66
organic,1.36,2015-01-18,2015,12251.87
conventional,1.47,2015-01-18,2015,59312.07
organic,1.55,2015-01-18,2015,3448.42
conventional,1.02,2015-01-18,2015,1674945.55
organic,1.8,2015-01-18,2015,29669.53
conventional,1.11,2015-01-18,2015,439617.61
organic,1.24,2015-01-18,2015,51904.44
conventional,1.22,2015-01-18,2015,204504.99
organic,1.97,2015-01-18,2015,3496.27
conventional,1.18,2015-01-18,2015,179038.39
organic,1.62,2015-01-18,2015,3480.66
conventional,1.18,2015-01-18,2015,112106.05
organic,1.48,2015-01-18,2015,5621.32
conventional,1.22,2015-01-18,2015,367047.36
organic,1.13,2015-01-18,2015,37233.34
conventional,1.01,2015-01-18,2015,461063.73
organic,1.29,2015-01-18,2015,14473.73
conventional,1.22,2015-01-18,2015,753746.51
organic,1.27,2015-01-18,2015,41482.48
conventional,1.2,2015-01-18,2015,463472.52
organic,1.45,2015-01-18,2015,44616.23
conventional,1.15,2015-01-18,2015,276205.95
organic,1.93,2015-01-18,2015,3024.32
conventional,0.79,2015-01-18,2015,5322625.57
organic,1.27,2015-01-18,2015,65242.77
conventional,1.19,2015-01-18,2015,2595783.66
organic,1.79,2015-01-18,2015,25740
conventional,1.18,2015-01-18,2015,69600.14
organic,1.44,2015-01-18,2015,4363.13
conventional,1.28,2015-01-18,2015,170590.85
organic,1.92,2015-01-18,2015,2923.4
conventional,1.4,2015-01-18,2015,40391.55
organic,1.84,2015-01-18,2015,627.8
conventional,1.27,2015-01-18,2015,228920.62
organic,1.73,2015-01-18,2015,1751.2
conventional,1.03,2015-01-18,2015,29043458.85
organic,1.42,2015-01-18,2015,713120
conventional,0.96,2015-01-18,2015,5475363.01
organic,1.33,2015-01-18,2015,251749.94
conventional,0.8,2015-01-18,2015,729795.72
organic,1.71,2015-01-18,2015,5508.2
conventional,1.06,2015-01-25,2015,45147.5
organic,1.89,2015-01-25,2015,1115.89
conventional,1.1,2015-01-25,2015,449332.85
organic,1.87,2015-01-25,2015,3047.38
conventional,1.2,2015-01-25,2015,692934.46
organic,1.41,2015-01-25,2015,15387.74
conventional,1.03,2015-01-25,2015,66069.21
organic,1.82,2015-01-25,2015,1174.53
conventional,1.17,2015-01-25,2015,409343.56
organic,2.01,2015-01-25,2015,1948.28
conventional,1.5,2015-01-25,2015,114052.94
organic,1.6,2015-01-25,2015,1480.91
conventional,1.06,2015-01-25,2015,4929884.26
organic,1.3,2015-01-25,2015,121698.02
conventional,1.18,2015-01-25,2015,167270.13
organic,2.29,2015-01-25,2015,2694.11
conventional,1.22,2015-01-25,2015,745439.17
organic,1.83,2015-01-25,2015,10951.51
conventional,0.93,2015-01-25,2015,213554.45
organic,1.26,2015-01-25,2015,10191.82
conventional,1.08,2015-01-25,2015,116995.68
organic,1.67,2015-01-25,2015,4847.86
conventional,0.8,2015-01-25,2015,1008295.47
organic,1.34,2015-01-25,2015,11247.71
conventional,1.02,2015-01-25,2015,695658.81
organic,1.33,2015-01-25,2015,22502.5
conventional,1.19,2015-01-25,2015,277325.29
organic,1.62,2015-01-25,2015,8703.74
conventional,1.19,2015-01-25,2015,144301.73
organic,2.01,2015-01-25,2015,711.52
conventional,1.13,2015-01-25,2015,2928692.32
organic,1.63,2015-01-25,2015,59906.52
conventional,1.17,2015-01-25,2015,206074.14
organic,1.8,2015-01-25,2015,2171.91
conventional,1.35,2015-01-25,2015,241174.11
organic,2.21,2015-01-25,2015,1920.19
conventional,0.77,2015-01-25,2015,983910.94
organic,1.24,2015-01-25,2015,11398.91
conventional,1.06,2015-01-25,2015,149473.79
organic,1.78,2015-01-25,2015,1221.24
conventional,1.2,2015-01-25,2015,109940.55
organic,1.88,2015-01-25,2015,1140.32
conventional,1.06,2015-01-25,2015,249509.99
organic,1.66,2015-01-25,2015,5758.68
conventional,0.96,2015-01-25,2015,2329987.29
organic,1.23,2015-01-25,2015,38078.07
conventional,1.02,2015-01-25,2015,86635.35
organic,1.68,2015-01-25,2015,1201.46
conventional,1.27,2015-01-25,2015,398055.71
organic,1.84,2015-01-25,2015,1648.84
conventional,1.15,2015-01-25,2015,2480820.72
organic,1.63,2015-01-25,2015,54932.83
conventional,1.07,2015-01-25,2015,140855.47
organic,1.71,2015-01-25,2015,4448.88
conventional,0.94,2015-01-25,2015,271448.06
organic,1.47,2015-01-25,2015,1278.14
conventional,1.36,2015-01-25,2015,1102868.27
organic,2.02,2015-01-25,2015,14337.32
conventional,1.27,2015-01-25,2015,3238501.89
organic,1.92,2015-01-25,2015,40358.44
conventional,1.06,2015-01-25,2015,290611.31
organic,1.9,2015-01-25,2015,6757.39
conventional,1.28,2015-01-25,2015,211991.09
organic,1.82,2015-01-25,2015,1925.46
conventional,1.36,2015-01-25,2015,355645.73
organic,1.82,2015-01-25,2015,2888.62
conventional,0.61,2015-01-25,2015,1233503.27
organic,1.54,2015-01-25,2015,10849.4
conventional,1.32,2015-01-25,2015,98722.79
organic,1.7,2015-01-25,2015,1441.14
conventional,1.08,2015-01-25,2015,1510836.96
organic,1.8,2015-01-25,2015,30207.8
conventional,1.09,2015-01-25,2015,432770.06
organic,1.35,2015-01-25,2015,30862.91
conventional,1.16,2015-01-25,2015,233277.19
organic,2.02,2015-01-25,2015,3359.58
conventional,1.17,2015-01-25,2015,194086.08
organic,1.57,2015-01-25,2015,3860.33
conventional,1.15,2015-01-25,2015,123070.18
organic,1.47,2015-01-25,2015,5411.77
conventional,1.19,2015-01-25,2015,360027.65
organic,1.44,2015-01-25,2015,9707.59
conventional,1.02,2015-01-25,2015,406591.11
organic,1.26,2015-01-25,2015,11132.08
conventional,1.21,2015-01-25,2015,713523.24
organic,1.34,2015-01-25,2015,27146.81
conventional,1.26,2015-01-25,2015,420124.11
organic,1.7,2015-01-25,2015,29354.75
conventional,1.06,2015-01-25,2015,311348.31
organic,2.01,2015-01-25,2015,2865.92
conventional,0.81,2015-01-25,2015,5142259.93
organic,1.37,2015-01-25,2015,58961.59
conventional,1.15,2015-01-25,2015,2778000.82
organic,1.81,2015-01-25,2015,23809.3
conventional,1.21,2015-01-25,2015,64116.71
organic,1.66,2015-01-25,2015,3313.55
conventional,1.17,2015-01-25,2015,176820.49
organic,1.93,2015-01-25,2015,4131.86
conventional,1.37,2015-01-25,2015,44517.84
organic,1.77,2015-01-25,2015,845.05
conventional,1.21,2015-01-25,2015,260471.23
organic,1.75,2015-01-25,2015,1460.04
conventional,1.04,2015-01-25,2015,28470310.84
organic,1.53,2015-01-25,2015,556368.86
conventional,0.94,2015-01-25,2015,5461313.9
organic,1.52,2015-01-25,2015,166494.38
conventional,0.8,2015-01-25,2015,720800.61
organic,1.63,2015-01-25,2015,7324.06
conventional,0.99,2015-02-01,2015,70873.6
organic,1.83,2015-02-01,2015,1228.51
conventional,0.96,2015-02-01,2015,636771.37
organic,1.44,2015-02-01,2015,7665.7
conventional,1.06,2015-02-01,2015,1007418.76
organic,1.15,2015-02-01,2015,27929.74
conventional,0.91,2015-02-01,2015,113578.24
organic,1.43,2015-02-01,2015,1780.76
conventional,1.22,2015-02-01,2015,490022.14
organic,1.78,2015-02-01,2015,2943.85
conventional,1.33,2015-02-01,2015,153920.35
organic,1.55,2015-02-01,2015,2808.55
conventional,0.85,2015-02-01,2015,9032180.67
organic,1.11,2015-02-01,2015,196031.9
conventional,0.98,2015-02-01,2015,254009.7
organic,1.93,2015-02-01,2015,3557.34
conventional,0.91,2015-02-01,2015,1133491.66
organic,1.52,2015-02-01,2015,14391.05
conventional,0.86,2015-02-01,2015,300905.18
organic,1.19,2015-02-01,2015,10707.5
conventional,0.87,2015-02-01,2015,216653.06
organic,1.63,2015-02-01,2015,4215.96
conventional,0.68,2015-02-01,2015,1391089.32
organic,1.24,2015-02-01,2015,12276.58
conventional,0.93,2015-02-01,2015,990211.57
organic,1.29,2015-02-01,2015,27527.63
conventional,0.92,2015-02-01,2015,539750.77
organic,1.55,2015-02-01,2015,8707.92
conventional,0.94,2015-02-01,2015,309471.69
organic,1.98,2015-02-01,2015,769.05
conventional,0.91,2015-02-01,2015,4874124.41
organic,1.53,2015-02-01,2015,63248.58
conventional,1.06,2015-02-01,2015,283137.88
organic,1.65,2015-02-01,2015,3796.16
conventional,1.32,2015-02-01,2015,297969.31
organic,1.54,2015-02-01,2015,6084.48
conventional,0.72,2015-02-01,2015,1280364.01
organic,1.15,2015-02-01,2015,12285.76
conventional,0.92,2015-02-01,2015,245352.56
organic,1.69,2015-02-01,2015,1565.24
conventional,0.92,2015-02-01,2015,237910.63
organic,1.76,2015-02-01,2015,1591.75
conventional,0.94,2015-02-01,2015,370223.11
organic,1.6,2015-02-01,2015,7634.17
conventional,0.74,2015-02-01,2015,4031949.04
organic,1.12,2015-02-01,2015,50107.32
conventional,0.9,2015-02-01,2015,125504.98
organic,1.55,2015-02-01,2015,1336.46
conventional,0.95,2015-02-01,2015,753300.79
organic,1.73,2015-02-01,2015,1767.3
conventional,0.99,2015-02-01,2015,3668037.65
organic,1.44,2015-02-01,2015,72159.84
conventional,0.94,2015-02-01,2015,221471.45
organic,1.65,2015-02-01,2015,4205.27
conventional,0.81,2015-02-01,2015,367711.87
organic,1.48,2015-02-01,2015,2013.46
conventional,1.36,2015-02-01,2015,1433763.11
organic,1.93,2015-02-01,2015,24697.84
conventional,1.23,2015-02-01,2015,4298883.17
organic,1.78,2015-02-01,2015,63537.1
conventional,1.06,2015-02-01,2015,412752.74
organic,1.89,2015-02-01,2015,6551.44
conventional,0.95,2015-02-01,2015,489224.51
organic,1.76,2015-02-01,2015,2499.88
conventional,1.14,2015-02-01,2015,569304.8
organic,1.69,2015-02-01,2015,4907.41
conventional,0.56,2015-02-01,2015,1544750.92
organic,1.18,2015-02-01,2015,13645.72
conventional,1.25,2015-02-01,2015,112065.73
organic,1.77,2015-02-01,2015,1427.11
conventional,0.92,2015-02-01,2015,2561325.42
organic,1.67,2015-02-01,2015,30193.16
conventional,0.98,2015-02-01,2015,776237.93
organic,1.2,2015-02-01,2015,39672.8
conventional,0.99,2015-02-01,2015,344288.82
organic,1.79,2015-02-01,2015,4385.19
conventional,0.97,2015-02-01,2015,308461.1
organic,1.58,2015-02-01,2015,3916.98
conventional,1,2015-02-01,2015,168217.72
organic,1.5,2015-02-01,2015,4941.74
conventional,1.04,2015-02-01,2015,771974.9
organic,1.22,2015-02-01,2015,13195.65
conventional,0.85,2015-02-01,2015,692276.13
organic,1.11,2015-02-01,2015,18623.99
conventional,0.91,2015-02-01,2015,1352027.64
organic,1.06,2015-02-01,2015,57802.02
conventional,0.97,2015-02-01,2015,933148.31
organic,1.44,2015-02-01,2015,40334.59
conventional,0.91,2015-02-01,2015,469684.32
organic,1.66,2015-02-01,2015,3977.03
conventional,0.71,2015-02-01,2015,6934356.31
organic,1.28,2015-02-01,2015,64156.46
conventional,0.93,2015-02-01,2015,4924049.79
organic,1.6,2015-02-01,2015,35085.7
conventional,0.97,2015-02-01,2015,135656.36
organic,1.38,2015-02-01,2015,6444.84
conventional,1.1,2015-02-01,2015,308371.9
organic,1.93,2015-02-01,2015,2688.02
conventional,1.26,2015-02-01,2015,57424.15
organic,1.65,2015-02-01,2015,1285.09
conventional,0.92,2015-02-01,2015,562242.53
organic,1.68,2015-02-01,2015,2109.19
conventional,0.89,2015-02-01,2015,44655461.51
organic,1.36,2015-02-01,2015,740896.97
conventional,0.84,2015-02-01,2015,8362504.08
organic,1.34,2015-02-01,2015,216484.22
conventional,0.71,2015-02-01,2015,916367.42
organic,1.77,2015-02-01,2015,7210.19
conventional,0.99,2015-02-08,2015,51253.97
organic,1.59,2015-02-08,2015,1770.87
conventional,1.03,2015-02-08,2015,433883.91
organic,1.29,2015-02-08,2015,13288.3
conventional,1.09,2015-02-08,2015,844931.21
organic,1.43,2015-02-08,2015,14898.15
conventional,1.07,2015-02-08,2015,69970.75
organic,1.35,2015-02-08,2015,3870.67
conventional,1.04,2015-02-08,2015,609985.34
organic,1.91,2015-02-08,2015,3098.29
conventional,1.36,2015-02-08,2015,132760.1
organic,1.54,2015-02-08,2015,3414.8
conventional,0.91,2015-02-08,2015,5871224.58
organic,1.35,2015-02-08,2015,132790.41
conventional,1.17,2015-02-08,2015,150139.38
organic,1.87,2015-02-08,2015,4011.02
conventional,1.13,2015-02-08,2015,729325.61
organic,1.78,2015-02-08,2015,9910.84
conventional,0.93,2015-02-08,2015,186617.2
organic,1.24,2015-02-08,2015,10351.99
conventional,0.96,2015-02-08,2015,128078.27
organic,1.78,2015-02-08,2015,3483.64
conventional,0.67,2015-02-08,2015,1207167.54
organic,1.35,2015-02-08,2015,10315.32
conventional,0.95,2015-02-08,2015,766576.39
organic,1.4,2015-02-08,2015,22798.51
conventional,1.11,2015-02-08,2015,268195.87
organic,1.86,2015-02-08,2015,6499.18
conventional,1.24,2015-02-08,2015,132621.01
organic,1.79,2015-02-08,2015,1083.77
conventional,1.07,2015-02-08,2015,2856456.35
organic,1.64,2015-02-08,2015,58545.6
conventional,1.02,2015-02-08,2015,239756.62
organic,1.67,2015-02-08,2015,3408.2
conventional,1.09,2015-02-08,2015,364571.57
organic,2.37,2015-02-08,2015,5223.36
conventional,0.7,2015-02-08,2015,1180723.02
organic,1.25,2015-02-08,2015,9077.59
conventional,0.98,2015-02-08,2015,158792.02
organic,1.68,2015-02-08,2015,2086.14
conventional,1.21,2015-02-08,2015,91840.75
organic,1.71,2015-02-08,2015,2242.67
conventional,1.01,2015-02-08,2015,318770.67
organic,1.68,2015-02-08,2015,7138.01
conventional,0.9,2015-02-08,2015,2641032.65
organic,1.29,2015-02-08,2015,46991.12
conventional,1,2015-02-08,2015,87054.02
organic,1.61,2015-02-08,2015,1438.14
conventional,1.25,2015-02-08,2015,348210.5
organic,1.72,2015-02-08,2015,2118.66
conventional,1.06,2015-02-08,2015,2734006.98
organic,1.58,2015-02-08,2015,64774.28
conventional,0.94,2015-02-08,2015,171749.31
organic,1.64,2015-02-08,2015,4614.78
conventional,0.93,2015-02-08,2015,242065.29
organic,1.53,2015-02-08,2015,3532.67
conventional,1.11,2015-02-08,2015,1658708.73
organic,1.95,2015-02-08,2015,22571.11
conventional,1.09,2015-02-08,2015,4457049.41
organic,1.85,2015-02-08,2015,65898.99
conventional,1.03,2015-02-08,2015,363935.24
organic,1.88,2015-02-08,2015,7856.82
conventional,1.23,2015-02-08,2015,204396.56
organic,1.75,2015-02-08,2015,3229.47
conventional,1.09,2015-02-08,2015,477875.71
organic,1.76,2015-02-08,2015,4172.75
conventional,0.64,2015-02-08,2015,1151157.44
organic,1.55,2015-02-08,2015,12418.02
conventional,1.38,2015-02-08,2015,66360.74
organic,1.6,2015-02-08,2015,2253.42
conventional,0.98,2015-02-08,2015,1794543.77
organic,1.54,2015-02-08,2015,46329.16
conventional,1.08,2015-02-08,2015,447701.68
organic,1.23,2015-02-08,2015,57669.71
conventional,1.14,2015-02-08,2015,222483.88
organic,1.73,2015-02-08,2015,5749.75
conventional,1.06,2015-02-08,2015,212887.85
organic,1.55,2015-02-08,2015,4719.47
